onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.046	0	L121	2	1	STIM_LOGO
3.046	5	L121	2	1	RETENTION_LOGO
8.046	0	L121	NaN	NaN	VERBALRESP_LOGO
11.844	0	L121	NaN	NaN	KEYRESP_LOGO
15.062	0	L111	2	1	STIM_LOGO
16.062	5	L111	2	1	RETENTION_LOGO
21.062	0	L111	NaN	NaN	VERBALRESP_LOGO
24.753	0	L111	NaN	NaN	KEYRESP_LOGO
29.079	0	L57	1	2	STIM_LOGO
30.079	5	L57	1	2	RETENTION_LOGO
35.079	0	L57	NaN	NaN	VERBALRESP_LOGO
38.545	0	L57	NaN	NaN	KEYRESP_LOGO
41.079	0	L416	1	2	STIM_LOGO
42.079	5	L416	1	2	RETENTION_LOGO
47.079	0	L416	NaN	NaN	VERBALRESP_LOGO
50.449	0	L416	NaN	NaN	KEYRESP_LOGO
53.079	0	L420	1	2	STIM_LOGO
54.079	5	L420	1	2	RETENTION_LOGO
59.079	0	L420	NaN	NaN	VERBALRESP_LOGO
62.549	0	L420	NaN	NaN	KEYRESP_LOGO
68.079	0	L355	1	2	STIM_LOGO
69.079	5	L355	1	2	RETENTION_LOGO
74.079	0	L355	NaN	NaN	VERBALRESP_LOGO
77.644	0	L355	NaN	NaN	KEYRESP_LOGO
85.079	0	L77	1	2	STIM_LOGO
86.079	5	L77	1	2	RETENTION_LOGO
91.079	0	L77	NaN	NaN	VERBALRESP_LOGO
94.654	0	L77	NaN	NaN	KEYRESP_LOGO
98.079	0	L412	0	2	STIM_LOGO
99.079	5	L412	0	2	RETENTION_LOGO
104.079	0	L412	NaN	NaN	VERBALRESP_LOGO
107.945	0	L412	NaN	NaN	KEYRESP_LOGO
114.079	0	L191	1	2	STIM_LOGO
115.079	5	L191	1	2	RETENTION_LOGO
120.079	0	L191	NaN	NaN	VERBALRESP_LOGO
123.604	0	L191	NaN	NaN	KEYRESP_LOGO
127.08	0	L156	1	2	STIM_LOGO
128.079	5	L156	1	2	RETENTION_LOGO
133.08	0	L156	NaN	NaN	VERBALRESP_LOGO
136.634	0	L156	NaN	NaN	KEYRESP_LOGO
143.08	0	L281	1	2	STIM_LOGO
144.08	5	L281	1	2	RETENTION_LOGO
149.08	0	L281	NaN	NaN	VERBALRESP_LOGO
152.462	0	L281	NaN	NaN	KEYRESP_LOGO
158.08	0	L403	1	2	STIM_LOGO
159.08	5	L403	1	2	RETENTION_LOGO
164.08	0	L403	NaN	NaN	VERBALRESP_LOGO
167.577	0	L403	NaN	NaN	KEYRESP_LOGO
172.08	0	L292	1	1	STIM_LOGO
173.08	5	L292	1	1	RETENTION_LOGO
178.08	0	L292	NaN	NaN	VERBALRESP_LOGO
181.586	0	L292	NaN	NaN	KEYRESP_LOGO
189.08	0	L425	1	1	STIM_LOGO
190.08	5	L425	1	1	RETENTION_LOGO
195.08	0	L425	NaN	NaN	VERBALRESP_LOGO
198.646	0	L425	NaN	NaN	KEYRESP_LOGO
203.08	0	L137	1	2	STIM_LOGO
204.08	5	L137	1	2	RETENTION_LOGO
209.08	0	L137	NaN	NaN	VERBALRESP_LOGO
212.568	0	L137	NaN	NaN	KEYRESP_LOGO
218.08	0	L214	1	2	STIM_LOGO
219.08	5	L214	1	2	RETENTION_LOGO
224.08	0	L214	NaN	NaN	VERBALRESP_LOGO
227.552	0	L214	NaN	NaN	KEYRESP_LOGO
237.097	0	L87	1	1	STIM_LOGO
238.097	5	L87	1	1	RETENTION_LOGO
243.097	0	L87	NaN	NaN	VERBALRESP_LOGO
246.688	0	L87	NaN	NaN	KEYRESP_LOGO
256.113	0	L397	1	2	STIM_LOGO
257.113	5	L397	1	2	RETENTION_LOGO
262.113	0	L397	NaN	NaN	VERBALRESP_LOGO
265.586	0	L397	NaN	NaN	KEYRESP_LOGO
270.113	0	L257	0	1	STIM_LOGO
271.113	5	L257	0	1	RETENTION_LOGO
276.113	0	L257	NaN	NaN	VERBALRESP_LOGO
279.461	0	L257	NaN	NaN	KEYRESP_LOGO
283.113	0	L22	1	2	STIM_LOGO
284.113	5	L22	1	2	RETENTION_LOGO
289.113	0	L22	NaN	NaN	VERBALRESP_LOGO
292.545	0	L22	NaN	NaN	KEYRESP_LOGO
296.113	0	L322	1	2	STIM_LOGO
297.113	5	L322	1	2	RETENTION_LOGO
302.114	0	L322	NaN	NaN	VERBALRESP_LOGO
305.525	0	L322	NaN	NaN	KEYRESP_LOGO
311.114	0	L73	1	2	STIM_LOGO
312.114	5	L73	1	2	RETENTION_LOGO
317.114	0	L73	NaN	NaN	VERBALRESP_LOGO
320.624	0	L73	NaN	NaN	KEYRESP_LOGO
323.114	0	L379	1	2	STIM_LOGO
324.114	5	L379	1	2	RETENTION_LOGO
329.114	0	L379	NaN	NaN	VERBALRESP_LOGO
332.538	0	L379	NaN	NaN	KEYRESP_LOGO
339.114	0	L287	1	2	STIM_LOGO
340.114	5	L287	1	2	RETENTION_LOGO
345.114	0	L287	NaN	NaN	VERBALRESP_LOGO
348.526	0	L287	NaN	NaN	KEYRESP_LOGO
351.114	0	L374	1	1	STIM_LOGO
352.114	5	L374	1	1	RETENTION_LOGO
357.114	0	L374	NaN	NaN	VERBALRESP_LOGO
360.483	0	L374	NaN	NaN	KEYRESP_LOGO
370.114	0	L45	0	1	STIM_LOGO
371.114	5	L45	0	1	RETENTION_LOGO
376.114	0	L45	NaN	NaN	VERBALRESP_LOGO
379.658	0	L45	NaN	NaN	KEYRESP_LOGO
387.114	0	L380	0	1	STIM_LOGO
388.114	5	L380	0	1	RETENTION_LOGO
393.114	0	L380	NaN	NaN	VERBALRESP_LOGO
396.536	0	L380	NaN	NaN	KEYRESP_LOGO
403.114	0	L4	1	2	STIM_LOGO
404.114	5	L4	1	2	RETENTION_LOGO
409.114	0	L4	NaN	NaN	VERBALRESP_LOGO
413.183	0	L4	NaN	NaN	KEYRESP_LOGO
416.114	0	L119	1	2	STIM_LOGO
