onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.033	0	L36	2	0	STIM_LOGO
3.033	5	L36	2	0	RETENTION_LOGO
8.033	0	L36	NaN	NaN	VERBALRESP_LOGO
15.067	0	L434	2	1	STIM_LOGO
16.067	5	L434	2	1	RETENTION_LOGO
21.067	0	L434	NaN	NaN	VERBALRESP_LOGO
24.591	0	L434	NaN	NaN	KEYRESP_LOGO
30.083	0	L400	1	2	STIM_LOGO
31.083	5	L400	1	2	RETENTION_LOGO
36.083	0	L400	NaN	NaN	VERBALRESP_LOGO
39.9	0	L400	NaN	NaN	KEYRESP_LOGO
48.084	0	L317	1	1	STIM_LOGO
49.084	5	L317	1	1	RETENTION_LOGO
54.084	0	L317	NaN	NaN	VERBALRESP_LOGO
58.15	0	L317	NaN	NaN	KEYRESP_LOGO
63.084	0	L322	1	2	STIM_LOGO
64.084	5	L322	1	2	RETENTION_LOGO
69.084	0	L322	NaN	NaN	VERBALRESP_LOGO
72.884	0	L322	NaN	NaN	KEYRESP_LOGO
82.084	0	L49	0	1	STIM_LOGO
83.084	5	L49	0	1	RETENTION_LOGO
88.084	0	L49	NaN	NaN	VERBALRESP_LOGO
92.304	0	L49	NaN	NaN	KEYRESP_LOGO
96.084	0	L130	1	2	STIM_LOGO
97.084	5	L130	1	2	RETENTION_LOGO
102.084	0	L130	NaN	NaN	VERBALRESP_LOGO
105.549	0	L130	NaN	NaN	KEYRESP_LOGO
114.084	0	L334	1	2	STIM_LOGO
115.084	5	L334	1	2	RETENTION_LOGO
120.084	0	L334	NaN	NaN	VERBALRESP_LOGO
123.749	0	L334	NaN	NaN	KEYRESP_LOGO
126.084	0	L355	0	1	STIM_LOGO
127.084	5	L355	0	1	RETENTION_LOGO
132.084	0	L355	NaN	NaN	VERBALRESP_LOGO
135.477	0	L355	NaN	NaN	KEYRESP_LOGO
139.084	0	L26	1	2	STIM_LOGO
140.084	5	L26	1	2	RETENTION_LOGO
145.084	0	L26	NaN	NaN	VERBALRESP_LOGO
148.975	0	L26	NaN	NaN	KEYRESP_LOGO
154.084	0	L398	1	2	STIM_LOGO
155.084	5	L398	1	2	RETENTION_LOGO
160.084	0	L398	NaN	NaN	VERBALRESP_LOGO
