onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.033	0	L36	2	1	STIM_LOGO
3.033	5	L36	2	1	RETENTION_LOGO
8.033	0	L36	NaN	NaN	VERBALRESP_LOGO
12.314	0	L36	NaN	NaN	KEYRESP_LOGO
15.05	0	L434	2	2	STIM_LOGO
16.05	5	L434	2	2	RETENTION_LOGO
21.05	0	L434	NaN	NaN	VERBALRESP_LOGO
25.143	0	L434	NaN	NaN	KEYRESP_LOGO
33.066	0	L77	1	2	STIM_LOGO
34.066	5	L77	1	2	RETENTION_LOGO
39.066	0	L77	NaN	NaN	VERBALRESP_LOGO
42.968	0	L77	NaN	NaN	KEYRESP_LOGO
47.067	0	L327	1	2	STIM_LOGO
48.067	5	L327	1	2	RETENTION_LOGO
53.066	0	L327	NaN	NaN	VERBALRESP_LOGO
57.561	0	L327	NaN	NaN	KEYRESP_LOGO
61.067	0	L383	0	1	STIM_LOGO
62.067	5	L383	0	1	RETENTION_LOGO
67.067	0	L383	NaN	NaN	VERBALRESP_LOGO
71.612	0	L383	NaN	NaN	KEYRESP_LOGO
76.067	0	L321	0	1	STIM_LOGO
77.067	5	L321	0	1	RETENTION_LOGO
82.067	0	L321	NaN	NaN	VERBALRESP_LOGO
85.899	0	L321	NaN	NaN	KEYRESP_LOGO
91.067	0	L431	0	1	STIM_LOGO
92.067	5	L431	0	1	RETENTION_LOGO
97.067	0	L431	NaN	NaN	VERBALRESP_LOGO
101.146	0	L431	NaN	NaN	KEYRESP_LOGO
103.067	0	L201	0	1	STIM_LOGO
104.067	5	L201	0	1	RETENTION_LOGO
109.067	0	L201	NaN	NaN	VERBALRESP_LOGO
113.089	0	L201	NaN	NaN	KEYRESP_LOGO
118.067	0	L334	1	2	STIM_LOGO
119.067	5	L334	1	2	RETENTION_LOGO
124.067	0	L334	NaN	NaN	VERBALRESP_LOGO
127.967	0	L334	NaN	NaN	KEYRESP_LOGO
132.067	0	L193	1	2	STIM_LOGO
133.067	5	L193	1	2	RETENTION_LOGO
138.067	0	L193	NaN	NaN	VERBALRESP_LOGO
