onset	duration	stim_filename	verbal_resp	event_type
2.417	0	S122n	2	STIM
8.417	0	S122n	NaN	VERBALRESP
12.115	0	S122n	NaN	KEYRESP
15.434	0	S123n	2	STIM
21.434	0	S123n	NaN	VERBALRESP
24.967	0	S123n	NaN	KEYRESP
27.434	0	S69n	0	STIM
33.434	0	S69n	NaN	VERBALRESP
37.104	0	S69n	NaN	KEYRESP
44.435	0	S63n	2	STIM
50.435	0	S63n	NaN	VERBALRESP
53.89	0	S63n	NaN	KEYRESP
60.435	0	S58n	0	STIM
66.435	0	S58n	NaN	VERBALRESP
69.982	0	S58n	NaN	KEYRESP
74.435	0	S40n	0	STIM
80.435	0	S40n	NaN	VERBALRESP
84.199	0	S40n	NaN	KEYRESP
87.435	0	S74n	0	STIM
93.435	0	S74n	NaN	VERBALRESP
97.208	0	S74n	NaN	KEYRESP
102.435	0	S5n	1	STIM
108.435	0	S5n	NaN	VERBALRESP
112.023	0	S5n	NaN	KEYRESP
121.435	0	S76n	2	STIM
127.436	0	S76n	NaN	VERBALRESP
131.217	0	S76n	NaN	KEYRESP
138.436	0	S32n	0	STIM
144.436	0	S32n	NaN	VERBALRESP
147.99	0	S32n	NaN	KEYRESP
156.436	0	S44n	2	STIM
162.436	0	S44n	NaN	VERBALRESP
166.24	0	S44n	NaN	KEYRESP
174.436	0	S28n	0	STIM
180.436	0	S28n	NaN	VERBALRESP
184.373	0	S28n	NaN	KEYRESP
193.436	0	S38n	0	STIM
199.436	0	S38n	NaN	VERBALRESP
202.928	0	S38n	NaN	KEYRESP
207.437	0	S37n	0	STIM
213.437	0	S37n	NaN	VERBALRESP
217.12	0	S37n	NaN	KEYRESP
224.437	0	S57n	0	STIM
230.437	0	S57n	NaN	VERBALRESP
234.082	0	S57n	NaN	KEYRESP
237.437	0	S48n	0	STIM
243.437	0	S48n	NaN	VERBALRESP
246.888	0	S48n	NaN	KEYRESP
253.437	0	S49n	1	STIM
259.437	0	S49n	NaN	VERBALRESP
262.902	0	S49n	NaN	KEYRESP
270.437	0	S20n	1	STIM
276.437	0	S20n	NaN	VERBALRESP
280.133	0	S20n	NaN	KEYRESP
282.438	0	S95n	0	STIM
288.438	0	S95n	NaN	VERBALRESP
292.163	0	S95n	NaN	KEYRESP
298.438	0	S80n	1	STIM
304.438	0	S80n	NaN	VERBALRESP
307.863	0	S80n	NaN	KEYRESP
310.438	0	S42n	1	STIM
316.438	0	S42n	NaN	VERBALRESP
320.155	0	S42n	NaN	KEYRESP
326.438	0	S85n	1	STIM
332.438	0	S85n	NaN	VERBALRESP
336.083	0	S85n	NaN	KEYRESP
338.438	0	S8n	0	STIM
344.438	0	S8n	NaN	VERBALRESP
348.128	0	S8n	NaN	KEYRESP
350.438	0	S33n	1	STIM
356.438	0	S33n	NaN	VERBALRESP
360.271	0	S33n	NaN	KEYRESP
369.439	0	S27n	0	STIM
375.439	0	S27n	NaN	VERBALRESP
379.09	0	S27n	NaN	KEYRESP
382.456	0	S24n	0	STIM
388.456	0	S24n	NaN	VERBALRESP
391.978	0	S24n	NaN	KEYRESP
395.472	0	S21n	0	STIM
401.472	0	S21n	NaN	VERBALRESP
405.129	0	S21n	NaN	KEYRESP
407.472	0	S25n	0	STIM
413.473	0	S25n	NaN	VERBALRESP
417.303	0	S25n	NaN	KEYRESP
422.473	0	S26n	1	STIM
428.473	0	S26n	NaN	VERBALRESP
431.925	0	S26n	NaN	KEYRESP
438.473	0	S70n	0	STIM
444.473	0	S70n	NaN	VERBALRESP
448.265	0	S70n	NaN	KEYRESP
453.473	0	S36n	1	STIM
459.473	0	S36n	NaN	VERBALRESP
463.123	0	S36n	NaN	KEYRESP
471.473	0	S62n	1	STIM
477.473	0	S62n	NaN	VERBALRESP
481.652	0	S62n	NaN	KEYRESP
485.473	0	S84n	0	STIM
491.474	0	S84n	NaN	VERBALRESP
495.123	0	S84n	NaN	KEYRESP
498.474	0	S67n	1	STIM
504.474	0	S67n	NaN	VERBALRESP
508.229	0	S67n	NaN	KEYRESP
515.474	0	S15n	1	STIM
521.474	0	S15n	NaN	VERBALRESP
525.314	0	S15n	NaN	KEYRESP
530.474	0	S51n	0	STIM
536.474	0	S51n	NaN	VERBALRESP
539.98	0	S51n	NaN	KEYRESP
544.474	0	S35n	3	STIM
550.474	0	S35n	NaN	VERBALRESP
554.901	0	S35n	NaN	KEYRESP
556.474	0	S56n	0	STIM
562.474	0	S56n	NaN	VERBALRESP
566.441	0	S56n	NaN	KEYRESP
575.475	0	S22n	0	STIM
581.475	0	S22n	NaN	VERBALRESP
585.231	0	S22n	NaN	KEYRESP
588.475	0	S65n	2	STIM
594.475	0	S65n	NaN	VERBALRESP
597.941	0	S65n	NaN	KEYRESP
602.475	0	S43n	0	STIM
608.475	0	S43n	NaN	VERBALRESP
612.185	0	S43n	NaN	KEYRESP
615.475	0	S30n	0	STIM
621.475	0	S30n	NaN	VERBALRESP
625.056	0	S30n	NaN	KEYRESP
