onset	duration	stim_filename	verbal_resp	event_type
2.13	0	S122n	2	STIM
8.13	0	S122n	NaN	VERBALRESP
12.137	0	S122n	NaN	KEYRESP
15.147	0	S123n	2	STIM
21.147	0	S123n	NaN	VERBALRESP
24.759	0	S123n	NaN	KEYRESP
29.164	0	S2n	1	STIM
35.163	0	S2n	NaN	VERBALRESP
38.936	0	S2n	NaN	KEYRESP
41.164	0	S70n	0	STIM
47.163	0	S70n	NaN	VERBALRESP
50.709	0	S70n	NaN	KEYRESP
57.163	0	S63n	2	STIM
63.163	0	S63n	NaN	VERBALRESP
66.709	0	S63n	NaN	KEYRESP
71.163	0	S40n	2	STIM
77.163	0	S40n	NaN	VERBALRESP
80.745	0	S40n	NaN	KEYRESP
87.163	0	S72n	1	STIM
93.163	0	S72n	NaN	VERBALRESP
96.723	0	S72n	NaN	KEYRESP
99.163	0	S61n	1	STIM
105.163	0	S61n	NaN	VERBALRESP
108.666	0	S61n	NaN	KEYRESP
111.163	0	S47n	1	STIM
117.163	0	S47n	NaN	VERBALRESP
120.95	0	S47n	NaN	KEYRESP
130.163	0	S81n	0	STIM
136.163	0	S81n	NaN	VERBALRESP
139.696	0	S81n	NaN	KEYRESP
142.163	0	S59n	1	STIM
148.163	0	S59n	NaN	VERBALRESP
151.795	0	S59n	NaN	KEYRESP
161.163	0	S62n	1	STIM
167.163	0	S62n	NaN	VERBALRESP
170.792	0	S62n	NaN	KEYRESP
174.163	0	S39n	0	STIM
180.163	0	S39n	NaN	VERBALRESP
183.742	0	S39n	NaN	KEYRESP
189.163	0	S71n	1	STIM
195.163	0	S71n	NaN	VERBALRESP
198.837	0	S71n	NaN	KEYRESP
208.162	0	S26n	1	STIM
214.162	0	S26n	NaN	VERBALRESP
217.701	0	S26n	NaN	KEYRESP
227.162	0	S90n	0	STIM
233.162	0	S90n	NaN	VERBALRESP
236.642	0	S90n	NaN	KEYRESP
239.162	0	S7n	0	STIM
245.162	0	S7n	NaN	VERBALRESP
248.806	0	S7n	NaN	KEYRESP
256.162	0	S20n	1	STIM
262.162	0	S20n	NaN	VERBALRESP
265.808	0	S20n	NaN	KEYRESP
273.162	0	S89n	2	STIM
279.162	0	S89n	NaN	VERBALRESP
282.771	0	S89n	NaN	KEYRESP
291.162	0	S74n	2	STIM
297.162	0	S74n	NaN	VERBALRESP
300.845	0	S74n	NaN	KEYRESP
308.162	0	S25n	1	STIM
314.162	0	S25n	NaN	VERBALRESP
317.744	0	S25n	NaN	KEYRESP
321.162	0	S38n	0	STIM
327.162	0	S38n	NaN	VERBALRESP
330.668	0	S38n	NaN	KEYRESP
336.162	0	S50n	1	STIM
342.162	0	S50n	NaN	VERBALRESP
345.658	0	S50n	NaN	KEYRESP
349.162	0	S24n	0	STIM
355.162	0	S24n	NaN	VERBALRESP
358.831	0	S24n	NaN	KEYRESP
363.162	0	S85n	1	STIM
369.162	0	S85n	NaN	VERBALRESP
372.828	0	S85n	NaN	KEYRESP
379.161	0	S22n	0	STIM
385.161	0	S22n	NaN	VERBALRESP
388.983	0	S22n	NaN	KEYRESP
394.161	0	S80n	1	STIM
400.161	0	S80n	NaN	VERBALRESP
403.702	0	S80n	NaN	KEYRESP
412.161	0	S76n	2	STIM
418.161	0	S76n	NaN	VERBALRESP
421.774	0	S76n	NaN	KEYRESP
428.161	0	S28n	0	STIM
434.161	0	S28n	NaN	VERBALRESP
437.701	0	S28n	NaN	KEYRESP
441.161	0	S31n	1	STIM
447.161	0	S31n	NaN	VERBALRESP
450.932	0	S31n	NaN	KEYRESP
456.178	0	S5n	1	STIM
462.178	0	S5n	NaN	VERBALRESP
465.853	0	S5n	NaN	KEYRESP
473.194	0	S57n	1	STIM
479.194	0	S57n	NaN	VERBALRESP
482.873	0	S57n	NaN	KEYRESP
490.194	0	S44n	2	STIM
496.194	0	S44n	NaN	VERBALRESP
499.773	0	S44n	NaN	KEYRESP
502.194	0	S52n	2	STIM
508.194	0	S52n	NaN	VERBALRESP
512.376	0	S52n	NaN	KEYRESP
520.194	0	S56n	2	STIM
526.194	0	S56n	NaN	VERBALRESP
530.005	0	S56n	NaN	KEYRESP
533.194	0	S86n	0	STIM
539.194	0	S86n	NaN	VERBALRESP
542.678	0	S86n	NaN	KEYRESP
549.194	0	S93n	1	STIM
555.194	0	S93n	NaN	VERBALRESP
558.968	0	S93n	NaN	KEYRESP
563.194	0	S60n	1	STIM
569.194	0	S60n	NaN	VERBALRESP
575.327	0	S45n	0	STIM
581.327	0	S45n	NaN	VERBALRESP
584.852	0	S45n	NaN	KEYRESP
588.344	0	S95n	0	STIM
594.343	0	S95n	NaN	VERBALRESP
597.977	0	S95n	NaN	KEYRESP
602.343	0	S67n	1	STIM
608.343	0	S67n	NaN	VERBALRESP
612.003	0	S67n	NaN	KEYRESP
615.343	0	S34n	1	STIM
621.343	0	S34n	NaN	VERBALRESP
624.951	0	S34n	NaN	KEYRESP
