onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.342	0	L220	2	2	STIM_LOGO
3.342	5	L220	2	2	RETENTION_LOGO
8.342	0	L220	NaN	NaN	VERBALRESP_LOGO
12.331	0	L220	NaN	NaN	KEYRESP_LOGO
15.359	0	L365	2	2	STIM_LOGO
16.359	5	L365	2	2	RETENTION_LOGO
21.359	0	L365	NaN	NaN	VERBALRESP_LOGO
25.366	0	L365	NaN	NaN	KEYRESP_LOGO
27.376	0	L278	1	2	STIM_LOGO
28.376	5	L278	1	2	RETENTION_LOGO
33.376	0	L278	NaN	NaN	VERBALRESP_LOGO
37.279	0	L278	NaN	NaN	KEYRESP_LOGO
41.376	0	L356	0	1	STIM_LOGO
42.376	5	L356	0	1	RETENTION_LOGO
47.376	0	L356	NaN	NaN	VERBALRESP_LOGO
51.389	0	L356	NaN	NaN	KEYRESP_LOGO
57.376	0	L86	1	2	STIM_LOGO
58.376	5	L86	1	2	RETENTION_LOGO
63.376	0	L86	NaN	NaN	VERBALRESP_LOGO
67.126	0	L86	NaN	NaN	KEYRESP_LOGO
75.376	0	L99	0	1	STIM_LOGO
76.376	5	L99	0	1	RETENTION_LOGO
81.376	0	L99	NaN	NaN	VERBALRESP_LOGO
85.36	0	L99	NaN	NaN	KEYRESP_LOGO
94.377	0	L416	0	1	STIM_LOGO
95.377	5	L416	0	1	RETENTION_LOGO
100.377	0	L416	NaN	NaN	VERBALRESP_LOGO
104.211	0	L416	NaN	NaN	KEYRESP_LOGO
107.393	0	L400	0	1	STIM_LOGO
108.393	5	L400	0	1	RETENTION_LOGO
113.393	0	L400	NaN	NaN	VERBALRESP_LOGO
117.508	0	L400	NaN	NaN	KEYRESP_LOGO
119.41	0	L305	0	1	STIM_LOGO
120.41	5	L305	0	1	RETENTION_LOGO
125.41	0	L305	NaN	NaN	VERBALRESP_LOGO
129.62	0	L305	NaN	NaN	KEYRESP_LOGO
134.41	0	L160	0	1	STIM_LOGO
135.41	5	L160	0	1	RETENTION_LOGO
140.41	0	L160	NaN	NaN	VERBALRESP_LOGO
144.504	0	L160	NaN	NaN	KEYRESP_LOGO
149.411	0	L87	1	2	STIM_LOGO
150.411	5	L87	1	2	RETENTION_LOGO
155.411	0	L87	NaN	NaN	VERBALRESP_LOGO
159.287	0	L87	NaN	NaN	KEYRESP_LOGO
166.411	0	L395	0	1	STIM_LOGO
167.411	5	L395	0	1	RETENTION_LOGO
172.411	0	L395	NaN	NaN	VERBALRESP_LOGO
176.402	0	L395	NaN	NaN	KEYRESP_LOGO
182.411	0	L418	0	1	STIM_LOGO
183.411	5	L418	0	1	RETENTION_LOGO
188.411	0	L418	NaN	NaN	VERBALRESP_LOGO
192.275	0	L418	NaN	NaN	KEYRESP_LOGO
195.411	0	L310	0	1	STIM_LOGO
196.411	5	L310	0	1	RETENTION_LOGO
201.411	0	L310	NaN	NaN	VERBALRESP_LOGO
205.279	0	L310	NaN	NaN	KEYRESP_LOGO
211.411	0	L104	0	1	STIM_LOGO
212.411	5	L104	0	1	RETENTION_LOGO
217.411	0	L104	NaN	NaN	VERBALRESP_LOGO
221.394	0	L104	NaN	NaN	KEYRESP_LOGO
223.412	0	L41	1	2	STIM_LOGO
224.412	5	L41	1	2	RETENTION_LOGO
229.412	0	L41	NaN	NaN	VERBALRESP_LOGO
233.123	0	L41	NaN	NaN	KEYRESP_LOGO
236.412	0	L282	0	1	STIM_LOGO
237.412	5	L282	0	1	RETENTION_LOGO
242.412	0	L282	NaN	NaN	VERBALRESP_LOGO
247.054	0	L282	NaN	NaN	KEYRESP_LOGO
253.412	0	L201	0	1	STIM_LOGO
254.412	5	L201	0	1	RETENTION_LOGO
259.412	0	L201	NaN	NaN	VERBALRESP_LOGO
263.466	0	L201	NaN	NaN	KEYRESP_LOGO
267.412	0	L133	0	1	STIM_LOGO
268.412	5	L133	0	1	RETENTION_LOGO
273.412	0	L133	NaN	NaN	VERBALRESP_LOGO
277.183	0	L133	NaN	NaN	KEYRESP_LOGO
