onset	duration	stim_filename	verbal_resp	event_type
2.668	0	S124n	2	STIM
8.668	0	S124n	NaN	VERBALRESP
12.868	0	S124n	NaN	KEYRESP
15.684	0	S125n	2	STIM
21.685	0	S125n	NaN	VERBALRESP
25.46	0	S125n	NaN	KEYRESP
28.685	0	S46n	1	STIM
34.685	0	S46n	NaN	VERBALRESP
38.731	0	S46n	NaN	KEYRESP
45.685	0	S32n	0	STIM
51.685	0	S32n	NaN	VERBALRESP
55.646	0	S32n	NaN	KEYRESP
58.685	0	S2n	1	STIM
64.685	0	S2n	NaN	VERBALRESP
68.733	0	S2n	NaN	KEYRESP
75.685	0	S93n	1	STIM
81.685	0	S93n	NaN	VERBALRESP
85.981	0	S93n	NaN	KEYRESP
92.685	0	S38n	0	STIM
98.685	0	S38n	NaN	VERBALRESP
103.236	0	S38n	NaN	KEYRESP
106.686	0	S25n	0	STIM
112.686	0	S25n	NaN	VERBALRESP
116.639	0	S25n	NaN	KEYRESP
122.686	0	S29n	1	STIM
128.686	0	S29n	NaN	VERBALRESP
133.585	0	S29n	NaN	KEYRESP
136.736	0	S76n	1	STIM
142.736	0	S76n	NaN	VERBALRESP
146.66	0	S76n	NaN	KEYRESP
148.736	0	S80n	0	STIM
154.736	0	S80n	NaN	VERBALRESP
158.782	0	S80n	NaN	KEYRESP
163.736	0	S31n	1	STIM
169.736	0	S31n	NaN	VERBALRESP
173.705	0	S31n	NaN	KEYRESP
182.736	0	S75n	2	STIM
188.737	0	S75n	NaN	VERBALRESP
194.903	0	S90n	0	STIM
200.903	0	S90n	NaN	VERBALRESP
204.815	0	S90n	NaN	KEYRESP
206.92	0	S57n	0	STIM
212.92	0	S57n	NaN	VERBALRESP
216.804	0	S57n	NaN	KEYRESP
218.937	0	S51n	0	STIM
224.937	0	S51n	NaN	VERBALRESP
228.762	0	S51n	NaN	KEYRESP
234.937	0	S55n	0	STIM
240.937	0	S55n	NaN	VERBALRESP
244.934	0	S55n	NaN	KEYRESP
253.937	0	S56n	0	STIM
259.937	0	S56n	NaN	VERBALRESP
264.145	0	S56n	NaN	KEYRESP
269.938	0	S71n	1	STIM
275.938	0	S71n	NaN	VERBALRESP
280.501	0	S71n	NaN	KEYRESP
286.938	0	S84n	0	STIM
292.938	0	S84n	NaN	VERBALRESP
297.382	0	S84n	NaN	KEYRESP
300.938	0	S58n	0	STIM
306.938	0	S58n	NaN	VERBALRESP
319.105	0	S7n	0	STIM
325.105	0	S7n	NaN	VERBALRESP
334.272	0	S83n	1	STIM
340.272	0	S83n	NaN	VERBALRESP
344.09	0	S83n	NaN	KEYRESP
352.272	0	S74n	1	STIM
358.272	0	S74n	NaN	VERBALRESP
362.667	0	S74n	NaN	KEYRESP
368.272	0	S27n	0	STIM
374.272	0	S27n	NaN	VERBALRESP
378.937	0	S27n	NaN	KEYRESP
383.272	0	S42n	1	STIM
389.272	0	S42n	NaN	VERBALRESP
393.829	0	S42n	NaN	KEYRESP
401.272	0	S10n	0	STIM
407.273	0	S10n	NaN	VERBALRESP
411.337	0	S10n	NaN	KEYRESP
413.273	0	S61n	1	STIM
419.273	0	S61n	NaN	VERBALRESP
423.981	0	S61n	NaN	KEYRESP
427.273	0	S73n	0	STIM
433.273	0	S73n	NaN	VERBALRESP
437.061	0	S73n	NaN	KEYRESP
440.273	0	S16n	0	STIM
446.273	0	S16n	NaN	VERBALRESP
450.654	0	S16n	NaN	KEYRESP
453.273	0	S37n	0	STIM
459.273	0	S37n	NaN	VERBALRESP
463.283	0	S37n	NaN	KEYRESP
470.273	0	S72n	1	STIM
476.273	0	S72n	NaN	VERBALRESP
480.068	0	S72n	NaN	KEYRESP
483.273	0	S35n	1	STIM
489.274	0	S35n	NaN	VERBALRESP
493.066	0	S35n	NaN	KEYRESP
499.274	0	S67n	1	STIM
505.274	0	S67n	NaN	VERBALRESP
509.708	0	S67n	NaN	KEYRESP
511.274	0	S70n	0	STIM
517.274	0	S70n	NaN	VERBALRESP
521.44	0	S70n	NaN	KEYRESP
525.274	0	S64n	1	STIM
531.274	0	S64n	NaN	VERBALRESP
535.308	0	S64n	NaN	KEYRESP
544.274	0	S63n	0	STIM
550.274	0	S63n	NaN	VERBALRESP
554.37	0	S63n	NaN	KEYRESP
563.274	0	S82n	0	STIM
569.275	0	S82n	NaN	VERBALRESP
573.534	0	S82n	NaN	KEYRESP
576.275	0	S41n	2	STIM
582.275	0	S41n	NaN	VERBALRESP
585.884	0	S41n	NaN	KEYRESP
588.275	0	S14n	0	STIM
594.275	0	S14n	NaN	VERBALRESP
601.375	0	S96n	1	STIM
607.375	0	S96n	NaN	VERBALRESP
610.98	0	S96n	NaN	KEYRESP
615.879	0	S53n	0	STIM
621.879	0	S53n	NaN	VERBALRESP
