onset	duration	stim_filename	verbal_resp	event_type
2.075	0	S122n	2	STIM
8.075	0	S122n	NaN	VERBALRESP
11.623	0	S122n	NaN	KEYRESP
15.091	0	S123n	2	STIM
21.092	0	S123n	NaN	VERBALRESP
24.712	0	S123n	NaN	KEYRESP
28.092	0	S24n	0	STIM
34.092	0	S24n	NaN	VERBALRESP
37.654	0	S24n	NaN	KEYRESP
41.092	0	S20n	1	STIM
47.092	0	S20n	NaN	VERBALRESP
50.605	0	S20n	NaN	KEYRESP
60.092	0	S96n	1	STIM
66.092	0	S96n	NaN	VERBALRESP
69.642	0	S96n	NaN	KEYRESP
73.092	0	S51n	0	STIM
79.092	0	S51n	NaN	VERBALRESP
82.569	0	S51n	NaN	KEYRESP
88.092	0	S75n	1	STIM
94.092	0	S75n	NaN	VERBALRESP
97.708	0	S75n	NaN	KEYRESP
100.093	0	S76n	1	STIM
106.093	0	S76n	NaN	VERBALRESP
109.733	0	S76n	NaN	KEYRESP
112.093	0	S62n	1	STIM
118.093	0	S62n	NaN	VERBALRESP
121.569	0	S62n	NaN	KEYRESP
128.093	0	S64n	1	STIM
134.093	0	S64n	NaN	VERBALRESP
137.602	0	S64n	NaN	KEYRESP
145.093	0	S68n	0	STIM
151.093	0	S68n	NaN	VERBALRESP
154.623	0	S68n	NaN	KEYRESP
159.093	0	S26n	1	STIM
165.093	0	S26n	NaN	VERBALRESP
168.521	0	S26n	NaN	KEYRESP
173.094	0	S29n	1	STIM
179.094	0	S29n	NaN	VERBALRESP
182.622	0	S29n	NaN	KEYRESP
190.094	0	S41n	1	STIM
196.094	0	S41n	NaN	VERBALRESP
199.673	0	S41n	NaN	KEYRESP
204.094	0	S50n	1	STIM
210.094	0	S50n	NaN	VERBALRESP
213.799	0	S50n	NaN	KEYRESP
220.111	0	S72n	1	STIM
226.111	0	S72n	NaN	VERBALRESP
229.914	0	S72n	NaN	KEYRESP
239.128	0	S56n	0	STIM
245.128	0	S56n	NaN	VERBALRESP
248.612	0	S56n	NaN	KEYRESP
252.128	0	S61n	1	STIM
258.128	0	S61n	NaN	VERBALRESP
262.027	0	S61n	NaN	KEYRESP
269.128	0	S59n	1	STIM
275.128	0	S59n	NaN	VERBALRESP
278.861	0	S59n	NaN	KEYRESP
281.128	0	S23n	0	STIM
287.128	0	S23n	NaN	VERBALRESP
290.963	0	S23n	NaN	KEYRESP
298.128	0	S21n	0	STIM
304.129	0	S21n	NaN	VERBALRESP
307.745	0	S21n	NaN	KEYRESP
314.129	0	S69n	0	STIM
320.129	0	S69n	NaN	VERBALRESP
323.689	0	S69n	NaN	KEYRESP
328.129	0	S37n	0	STIM
334.129	0	S37n	NaN	VERBALRESP
337.602	0	S37n	NaN	KEYRESP
341.129	0	S52n	0	STIM
347.129	0	S52n	NaN	VERBALRESP
350.517	0	S52n	NaN	KEYRESP
353.129	0	S89n	0	STIM
359.129	0	S89n	NaN	VERBALRESP
362.608	0	S89n	NaN	KEYRESP
365.129	0	S92n	1	STIM
371.129	0	S92n	NaN	VERBALRESP
374.808	0	S92n	NaN	KEYRESP
382.129	0	S49n	1	STIM
388.13	0	S49n	NaN	VERBALRESP
391.839	0	S49n	NaN	KEYRESP
401.13	0	S25n	0	STIM
407.13	0	S25n	NaN	VERBALRESP
410.57	0	S25n	NaN	KEYRESP
415.13	0	S30n	0	STIM
421.13	0	S30n	NaN	VERBALRESP
424.602	0	S30n	NaN	KEYRESP
427.13	0	S93n	1	STIM
433.13	0	S93n	NaN	VERBALRESP
436.509	0	S93n	NaN	KEYRESP
440.13	0	S22n	0	STIM
446.13	0	S22n	NaN	VERBALRESP
449.645	0	S22n	NaN	KEYRESP
455.13	0	S83n	1	STIM
461.13	0	S83n	NaN	VERBALRESP
464.623	0	S83n	NaN	KEYRESP
473.131	0	S31n	1	STIM
479.131	0	S31n	NaN	VERBALRESP
482.661	0	S31n	NaN	KEYRESP
489.131	0	S58n	0	STIM
495.131	0	S58n	NaN	VERBALRESP
498.663	0	S58n	NaN	KEYRESP
504.131	0	S48n	0	STIM
510.131	0	S48n	NaN	VERBALRESP
513.765	0	S48n	NaN	KEYRESP
523.131	0	S36n	1	STIM
529.131	0	S36n	NaN	VERBALRESP
533.168	0	S36n	NaN	KEYRESP
541.131	0	S80n	1	STIM
547.132	0	S80n	NaN	VERBALRESP
550.738	0	S80n	NaN	KEYRESP
556.132	0	S10n	0	STIM
562.132	0	S10n	NaN	VERBALRESP
565.56	0	S10n	NaN	KEYRESP
569.149	0	S2n	1	STIM
575.149	0	S2n	NaN	VERBALRESP
578.624	0	S2n	NaN	KEYRESP
581.165	0	S39n	0	STIM
587.165	0	S39n	NaN	VERBALRESP
590.599	0	S39n	NaN	KEYRESP
599.166	0	S71n	1	STIM
605.166	0	S71n	NaN	VERBALRESP
608.935	0	S71n	NaN	KEYRESP
615.166	0	S70n	0	STIM
621.166	0	S70n	NaN	VERBALRESP
624.758	0	S70n	NaN	KEYRESP
