onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.342	0	L36	2	1	STIM_LOGO
3.342	5	L36	2	1	RETENTION_LOGO
8.342	0	L36	NaN	NaN	VERBALRESP_LOGO
12.267	0	L36	NaN	NaN	KEYRESP_LOGO
15.358	0	L434	2	2	STIM_LOGO
16.358	5	L434	2	2	RETENTION_LOGO
21.358	0	L434	NaN	NaN	VERBALRESP_LOGO
25.294	0	L434	NaN	NaN	KEYRESP_LOGO
30.358	0	L384	0	1	STIM_LOGO
31.359	5	L384	0	1	RETENTION_LOGO
36.359	0	L384	NaN	NaN	VERBALRESP_LOGO
40.045	0	L384	NaN	NaN	KEYRESP_LOGO
44.359	0	L297	0	0	STIM_LOGO
45.359	5	L297	0	0	RETENTION_LOGO
50.359	0	L297	NaN	NaN	VERBALRESP_LOGO
60.359	0	L207	0	0	STIM_LOGO
61.359	5	L207	0	0	RETENTION_LOGO
66.359	0	L207	NaN	NaN	VERBALRESP_LOGO
73.359	0	L315	1	1	STIM_LOGO
74.359	5	L315	1	1	RETENTION_LOGO
79.359	0	L315	NaN	NaN	VERBALRESP_LOGO
83.236	0	L315	NaN	NaN	KEYRESP_LOGO
85.359	0	L228	0	1	STIM_LOGO
86.359	5	L228	0	1	RETENTION_LOGO
91.359	0	L228	NaN	NaN	VERBALRESP_LOGO
95.529	0	L228	NaN	NaN	KEYRESP_LOGO
99.359	0	L312	1	1	STIM_LOGO
100.359	5	L312	1	1	RETENTION_LOGO
105.359	0	L312	NaN	NaN	VERBALRESP_LOGO
108.981	0	L312	NaN	NaN	KEYRESP_LOGO
111.359	0	L113	0	0	STIM_LOGO
112.359	5	L113	0	0	RETENTION_LOGO
117.359	0	L113	NaN	NaN	VERBALRESP_LOGO
127.359	0	L330	1	1	STIM_LOGO
128.359	5	L330	1	1	RETENTION_LOGO
133.359	0	L330	NaN	NaN	VERBALRESP_LOGO
137.06	0	L330	NaN	NaN	KEYRESP_LOGO
140.359	0	L397	0	0	STIM_LOGO
141.359	5	L397	0	0	RETENTION_LOGO
146.359	0	L397	NaN	NaN	VERBALRESP_LOGO
156.359	0	L18	1	1	STIM_LOGO
157.359	5	L18	1	1	RETENTION_LOGO
162.359	0	L18	NaN	NaN	VERBALRESP_LOGO
165.947	0	L18	NaN	NaN	KEYRESP_LOGO
173.359	0	L70	0	0	STIM_LOGO
174.359	5	L70	0	0	RETENTION_LOGO
179.36	0	L70	NaN	NaN	VERBALRESP_LOGO
188.36	0	L329	1	1	STIM_LOGO
189.36	5	L329	1	1	RETENTION_LOGO
194.36	0	L329	NaN	NaN	VERBALRESP_LOGO
198.1	0	L329	NaN	NaN	KEYRESP_LOGO
203.36	0	L157	1	1	STIM_LOGO
204.36	5	L157	1	1	RETENTION_LOGO
209.36	0	L157	NaN	NaN	VERBALRESP_LOGO
213.766	0	L157	NaN	NaN	KEYRESP_LOGO
220.36	0	L363	0	0	STIM_LOGO
221.36	5	L363	0	0	RETENTION_LOGO
226.36	0	L363	NaN	NaN	VERBALRESP_LOGO
236.36	0	L241	1	1	STIM_LOGO
237.36	5	L241	1	1	RETENTION_LOGO
242.36	0	L241	NaN	NaN	VERBALRESP_LOGO
246.111	0	L241	NaN	NaN	KEYRESP_LOGO
255.36	0	L427	1	1	STIM_LOGO
256.36	5	L427	1	1	RETENTION_LOGO
261.36	0	L427	NaN	NaN	VERBALRESP_LOGO
265.121	0	L427	NaN	NaN	KEYRESP_LOGO
271.36	0	L405	2	1	STIM_LOGO
272.36	5	L405	2	1	RETENTION_LOGO
277.36	0	L405	NaN	NaN	VERBALRESP_LOGO
280.984	0	L405	NaN	NaN	KEYRESP_LOGO
284.36	0	L219	0	0	STIM_LOGO
285.36	5	L219	0	0	RETENTION_LOGO
290.36	0	L219	NaN	NaN	VERBALRESP_LOGO
303.377	0	L203	0	0	STIM_LOGO
304.377	5	L203	0	0	RETENTION_LOGO
309.377	0	L203	NaN	NaN	VERBALRESP_LOGO
318.394	0	L438	1	1	STIM_LOGO
319.394	5	L438	1	1	RETENTION_LOGO
324.394	0	L438	NaN	NaN	VERBALRESP_LOGO
328.526	0	L438	NaN	NaN	KEYRESP_LOGO
331.394	0	L26	0	0	STIM_LOGO
332.394	5	L26	0	0	RETENTION_LOGO
337.394	0	L26	NaN	NaN	VERBALRESP_LOGO
345.394	0	L44	1	1	STIM_LOGO
346.394	5	L44	1	1	RETENTION_LOGO
