onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.656	0	L205	2	2	STIM_LOGO
3.656	5	L205	2	2	RETENTION_LOGO
8.656	0	L205	NaN	NaN	VERBALRESP_LOGO
12.358	0	L205	NaN	NaN	KEYRESP_LOGO
15.656	0	L2	2	2	STIM_LOGO
16.656	5	L2	2	2	RETENTION_LOGO
21.656	0	L2	NaN	NaN	VERBALRESP_LOGO
25.778	0	L2	NaN	NaN	KEYRESP_LOGO
28.656	0	L269	0	1	STIM_LOGO
29.656	5	L269	0	1	RETENTION_LOGO
34.656	0	L269	NaN	NaN	VERBALRESP_LOGO
38.535	0	L269	NaN	NaN	KEYRESP_LOGO
42.656	0	L363	1	2	STIM_LOGO
43.656	5	L363	1	2	RETENTION_LOGO
48.656	0	L363	NaN	NaN	VERBALRESP_LOGO
52.702	0	L363	NaN	NaN	KEYRESP_LOGO
58.656	0	L70	1	2	STIM_LOGO
59.656	5	L70	1	2	RETENTION_LOGO
64.656	0	L70	NaN	NaN	VERBALRESP_LOGO
68.501	0	L70	NaN	NaN	KEYRESP_LOGO
70.656	0	L122	1	2	STIM_LOGO
71.656	5	L122	1	2	RETENTION_LOGO
76.656	0	L122	NaN	NaN	VERBALRESP_LOGO
80.349	0	L122	NaN	NaN	KEYRESP_LOGO
86.656	0	L218	0	1	STIM_LOGO
87.656	5	L218	0	1	RETENTION_LOGO
92.656	0	L218	NaN	NaN	VERBALRESP_LOGO
96.453	0	L218	NaN	NaN	KEYRESP_LOGO
102.656	0	L204	1	2	STIM_LOGO
103.656	5	L204	1	2	RETENTION_LOGO
108.656	0	L204	NaN	NaN	VERBALRESP_LOGO
113.044	0	L204	NaN	NaN	KEYRESP_LOGO
121.656	0	L72	1	2	STIM_LOGO
122.656	5	L72	1	2	RETENTION_LOGO
127.656	0	L72	NaN	NaN	VERBALRESP_LOGO
131.488	0	L72	NaN	NaN	KEYRESP_LOGO
140.656	0	L16	1	2	STIM_LOGO
141.656	5	L16	1	2	RETENTION_LOGO
146.656	0	L16	NaN	NaN	VERBALRESP_LOGO
151.004	0	L16	NaN	NaN	KEYRESP_LOGO
152.656	0	L80	1	2	STIM_LOGO
153.656	5	L80	1	2	RETENTION_LOGO
158.656	0	L80	NaN	NaN	VERBALRESP_LOGO
162.847	0	L80	NaN	NaN	KEYRESP_LOGO
164.656	0	L422	1	2	STIM_LOGO
165.656	5	L422	1	2	RETENTION_LOGO
170.656	0	L422	NaN	NaN	VERBALRESP_LOGO
174.763	0	L422	NaN	NaN	KEYRESP_LOGO
180.656	0	L319	1	2	STIM_LOGO
181.656	5	L319	1	2	RETENTION_LOGO
186.656	0	L319	NaN	NaN	VERBALRESP_LOGO
190.293	0	L319	NaN	NaN	KEYRESP_LOGO
199.656	0	L355	1	2	STIM_LOGO
200.656	5	L355	1	2	RETENTION_LOGO
205.656	0	L355	NaN	NaN	VERBALRESP_LOGO
209.293	0	L355	NaN	NaN	KEYRESP_LOGO
212.656	0	L297	1	2	STIM_LOGO
213.656	5	L297	1	2	RETENTION_LOGO
218.656	0	L297	NaN	NaN	VERBALRESP_LOGO
222.557	0	L297	NaN	NaN	KEYRESP_LOGO
225.656	0	L207	1	2	STIM_LOGO
226.656	5	L207	1	2	RETENTION_LOGO
231.656	0	L207	NaN	NaN	VERBALRESP_LOGO
235.791	0	L207	NaN	NaN	KEYRESP_LOGO
240.656	0	L26	2	2	STIM_LOGO
241.656	5	L26	2	2	RETENTION_LOGO
