onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.342	0	L220	2	2	STIM_LOGO
3.342	5	L220	2	2	RETENTION_LOGO
8.342	0	L220	NaN	NaN	VERBALRESP_LOGO
12.324	0	L220	NaN	NaN	KEYRESP_LOGO
15.358	0	L365	2	2	STIM_LOGO
16.359	5	L365	2	2	RETENTION_LOGO
21.358	0	L365	NaN	NaN	VERBALRESP_LOGO
25.043	0	L365	NaN	NaN	KEYRESP_LOGO
33.359	0	L161	0	1	STIM_LOGO
34.359	5	L161	0	1	RETENTION_LOGO
39.359	0	L161	NaN	NaN	VERBALRESP_LOGO
43.032	0	L161	NaN	NaN	KEYRESP_LOGO
47.359	0	L279	0	1	STIM_LOGO
48.359	5	L279	0	1	RETENTION_LOGO
53.359	0	L279	NaN	NaN	VERBALRESP_LOGO
57.157	0	L279	NaN	NaN	KEYRESP_LOGO
64.359	0	L295	0	1	STIM_LOGO
65.359	5	L295	0	1	RETENTION_LOGO
70.359	0	L295	NaN	NaN	VERBALRESP_LOGO
74.36	0	L295	NaN	NaN	KEYRESP_LOGO
80.359	0	L37	0	1	STIM_LOGO
81.359	5	L37	0	1	RETENTION_LOGO
86.359	0	L37	NaN	NaN	VERBALRESP_LOGO
91.012	0	L37	NaN	NaN	KEYRESP_LOGO
93.359	0	L238	1	2	STIM_LOGO
94.359	5	L238	1	2	RETENTION_LOGO
99.359	0	L238	NaN	NaN	VERBALRESP_LOGO
102.94	0	L238	NaN	NaN	KEYRESP_LOGO
105.359	0	L369	0	1	STIM_LOGO
106.359	5	L369	0	1	RETENTION_LOGO
111.359	0	L369	NaN	NaN	VERBALRESP_LOGO
114.988	0	L369	NaN	NaN	KEYRESP_LOGO
124.359	0	L221	1	2	STIM_LOGO
125.359	5	L221	1	2	RETENTION_LOGO
130.359	0	L221	NaN	NaN	VERBALRESP_LOGO
133.998	0	L221	NaN	NaN	KEYRESP_LOGO
138.376	0	L363	1	1	STIM_LOGO
139.376	5	L363	1	1	RETENTION_LOGO
144.376	0	L363	NaN	NaN	VERBALRESP_LOGO
147.965	0	L363	NaN	NaN	KEYRESP_LOGO
157.393	0	L427	0	1	STIM_LOGO
158.393	5	L427	0	1	RETENTION_LOGO
163.393	0	L427	NaN	NaN	VERBALRESP_LOGO
167.401	0	L427	NaN	NaN	KEYRESP_LOGO
169.393	0	L301	0	2	STIM_LOGO
170.393	5	L301	0	2	RETENTION_LOGO
175.393	0	L301	NaN	NaN	VERBALRESP_LOGO
179.313	0	L301	NaN	NaN	KEYRESP_LOGO
182.393	0	L33	0	1	STIM_LOGO
183.393	5	L33	0	1	RETENTION_LOGO
188.393	0	L33	NaN	NaN	VERBALRESP_LOGO
192.316	0	L33	NaN	NaN	KEYRESP_LOGO
198.393	0	L151	0	1	STIM_LOGO
199.393	5	L151	0	1	RETENTION_LOGO
204.393	0	L151	NaN	NaN	VERBALRESP_LOGO
208.138	0	L151	NaN	NaN	KEYRESP_LOGO
210.393	0	L259	1	1	STIM_LOGO
211.393	5	L259	1	1	RETENTION_LOGO
216.394	0	L259	NaN	NaN	VERBALRESP_LOGO
220.443	0	L259	NaN	NaN	KEYRESP_LOGO
227.394	0	L324	0	1	STIM_LOGO
228.394	5	L324	0	1	RETENTION_LOGO
233.394	0	L324	NaN	NaN	VERBALRESP_LOGO
237.504	0	L324	NaN	NaN	KEYRESP_LOGO
246.394	0	L340	0	1	STIM_LOGO
247.394	5	L340	0	1	RETENTION_LOGO
252.394	0	L340	NaN	NaN	VERBALRESP_LOGO
256.406	0	L340	NaN	NaN	KEYRESP_LOGO
263.394	0	L234	0	0	STIM_LOGO
264.394	5	L234	0	0	RETENTION_LOGO
269.394	0	L234	NaN	NaN	VERBALRESP_LOGO
281.544	0	L433	0	2	STIM_LOGO
282.544	5	L433	0	2	RETENTION_LOGO
287.544	0	L433	NaN	NaN	VERBALRESP_LOGO
292.145	0	L433	NaN	NaN	KEYRESP_LOGO
294.544	0	L233	1	2	STIM_LOGO
295.544	5	L233	1	2	RETENTION_LOGO
