onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.022	0	L36	2	2	STIM_LOGO
3.022	5	L36	2	2	RETENTION_LOGO
8.022	0	L36	NaN	NaN	VERBALRESP_LOGO
11.477	0	L36	NaN	NaN	KEYRESP_LOGO
15.039	0	L434	2	2	STIM_LOGO
16.039	5	L434	2	2	RETENTION_LOGO
21.039	0	L434	NaN	NaN	VERBALRESP_LOGO
24.436	0	L434	NaN	NaN	KEYRESP_LOGO
32.056	0	L270	1	2	STIM_LOGO
33.056	5	L270	1	2	RETENTION_LOGO
38.056	0	L270	NaN	NaN	VERBALRESP_LOGO
41.402	0	L270	NaN	NaN	KEYRESP_LOGO
51.056	0	L133	1	2	STIM_LOGO
52.056	5	L133	1	2	RETENTION_LOGO
57.056	0	L133	NaN	NaN	VERBALRESP_LOGO
60.436	0	L133	NaN	NaN	KEYRESP_LOGO
66.073	0	L282	1	2	STIM_LOGO
67.073	5	L282	1	2	RETENTION_LOGO
72.073	0	L282	NaN	NaN	VERBALRESP_LOGO
75.435	0	L282	NaN	NaN	KEYRESP_LOGO
78.09	0	L306	1	2	STIM_LOGO
79.09	5	L306	1	2	RETENTION_LOGO
84.09	0	L306	NaN	NaN	VERBALRESP_LOGO
87.702	0	L306	NaN	NaN	KEYRESP_LOGO
90.09	0	L33	0	2	STIM_LOGO
91.09	5	L33	0	2	RETENTION_LOGO
96.09	0	L33	NaN	NaN	VERBALRESP_LOGO
99.643	0	L33	NaN	NaN	KEYRESP_LOGO
103.09	0	L256	0	2	STIM_LOGO
104.09	5	L256	0	2	RETENTION_LOGO
109.09	0	L256	NaN	NaN	VERBALRESP_LOGO
112.459	0	L256	NaN	NaN	KEYRESP_LOGO
117.09	0	L155	1	2	STIM_LOGO
118.09	5	L155	1	2	RETENTION_LOGO
123.09	0	L155	NaN	NaN	VERBALRESP_LOGO
126.471	0	L155	NaN	NaN	KEYRESP_LOGO
134.09	0	L238	1	2	STIM_LOGO
135.09	5	L238	1	2	RETENTION_LOGO
140.09	0	L238	NaN	NaN	VERBALRESP_LOGO
143.488	0	L238	NaN	NaN	KEYRESP_LOGO
153.09	0	L160	1	1	STIM_LOGO
154.09	5	L160	1	1	RETENTION_LOGO
159.09	0	L160	NaN	NaN	VERBALRESP_LOGO
162.54	0	L160	NaN	NaN	KEYRESP_LOGO
166.09	0	L360	1	2	STIM_LOGO
167.091	5	L360	1	2	RETENTION_LOGO
172.091	0	L360	NaN	NaN	VERBALRESP_LOGO
175.565	0	L360	NaN	NaN	KEYRESP_LOGO
183.091	0	L374	1	1	STIM_LOGO
184.091	5	L374	1	1	RETENTION_LOGO
189.091	0	L374	NaN	NaN	VERBALRESP_LOGO
192.787	0	L374	NaN	NaN	KEYRESP_LOGO
197.091	0	L328	1	2	STIM_LOGO
198.091	5	L328	1	2	RETENTION_LOGO
203.091	0	L328	NaN	NaN	VERBALRESP_LOGO
206.477	0	L328	NaN	NaN	KEYRESP_LOGO
