onset	duration	stim_filename	verbal_resp	event_type
2.04	0	S124n	2	STIM
8.04	0	S124n	NaN	VERBALRESP
12.192	0	S124n	NaN	KEYRESP
15.04	0	S125n	2	STIM
21.04	0	S125n	NaN	VERBALRESP
25.03	0	S125n	NaN	KEYRESP
29.04	0	S8n	0	STIM
35.04	0	S8n	NaN	VERBALRESP
39.2	0	S8n	NaN	KEYRESP
42.04	0	S86n	0	STIM
48.04	0	S86n	NaN	VERBALRESP
52.323	0	S86n	NaN	KEYRESP
55.04	0	S78n	1	STIM
61.04	0	S78n	NaN	VERBALRESP
64.839	0	S78n	NaN	KEYRESP
70.04	0	S56n	0	STIM
76.04	0	S56n	NaN	VERBALRESP
80.238	0	S56n	NaN	KEYRESP
83.04	0	S3n	1	STIM
89.04	0	S3n	NaN	VERBALRESP
92.842	0	S3n	NaN	KEYRESP
95.04	0	S81n	0	STIM
101.04	0	S81n	NaN	VERBALRESP
105.236	0	S81n	NaN	KEYRESP
114.04	0	S68n	0	STIM
120.04	0	S68n	NaN	VERBALRESP
124.508	0	S68n	NaN	KEYRESP
128.04	0	S70n	0	STIM
134.039	0	S70n	NaN	VERBALRESP
138.074	0	S70n	NaN	KEYRESP
147.04	0	S49n	2	STIM
153.039	0	S49n	NaN	VERBALRESP
157.393	0	S49n	NaN	KEYRESP
159.04	0	S28n	0	STIM
165.039	0	S28n	NaN	VERBALRESP
168.928	0	S28n	NaN	KEYRESP
175.056	0	S24n	0	STIM
181.056	0	S24n	NaN	VERBALRESP
185.289	0	S24n	NaN	KEYRESP
194.073	0	S5n	0	STIM
200.073	0	S5n	NaN	VERBALRESP
204.647	0	S5n	NaN	KEYRESP
209.073	0	S85n	1	STIM
215.073	0	S85n	NaN	VERBALRESP
219.104	0	S85n	NaN	KEYRESP
221.073	0	S63n	2	STIM
227.073	0	S63n	NaN	VERBALRESP
231.258	0	S63n	NaN	KEYRESP
233.073	0	S32n	0	STIM
239.073	0	S32n	NaN	VERBALRESP
243.365	0	S32n	NaN	KEYRESP
250.073	0	S37n	0	STIM
256.073	0	S37n	NaN	VERBALRESP
260.081	0	S37n	NaN	KEYRESP
266.073	0	S29n	1	STIM
272.073	0	S29n	NaN	VERBALRESP
275.76	0	S29n	NaN	KEYRESP
278.073	0	S11n	0	STIM
284.073	0	S11n	NaN	VERBALRESP
288.423	0	S11n	NaN	KEYRESP
295.073	0	S25n	2	STIM
301.072	0	S25n	NaN	VERBALRESP
305.214	0	S25n	NaN	KEYRESP
309.073	0	S61n	0	STIM
315.072	0	S61n	NaN	VERBALRESP
319.188	0	S61n	NaN	KEYRESP
327.072	0	S41n	2	STIM
333.072	0	S41n	NaN	VERBALRESP
337.117	0	S41n	NaN	KEYRESP
342.072	0	S16n	1	STIM
348.072	0	S16n	NaN	VERBALRESP
351.797	0	S16n	NaN	KEYRESP
354.072	0	S57n	0	STIM
360.072	0	S57n	NaN	VERBALRESP
364.115	0	S57n	NaN	KEYRESP
368.072	0	S38n	0	STIM
374.072	0	S38n	NaN	VERBALRESP
378.218	0	S38n	NaN	KEYRESP
383.072	0	S69n	0	STIM
389.072	0	S69n	NaN	VERBALRESP
393.339	0	S69n	NaN	KEYRESP
397.072	0	S89n	0	STIM
403.072	0	S89n	NaN	VERBALRESP
407.146	0	S89n	NaN	KEYRESP
413.072	0	S79n	1	STIM
419.072	0	S79n	NaN	VERBALRESP
422.994	0	S79n	NaN	KEYRESP
426.072	0	S43n	0	STIM
432.072	0	S43n	NaN	VERBALRESP
435.957	0	S43n	NaN	KEYRESP
439.072	0	S82n	0	STIM
445.072	0	S82n	NaN	VERBALRESP
448.619	0	S82n	NaN	KEYRESP
455.072	0	S62n	1	STIM
461.072	0	S62n	NaN	VERBALRESP
464.823	0	S62n	NaN	KEYRESP
468.072	0	S40n	0	STIM
474.072	0	S40n	NaN	VERBALRESP
478.396	0	S40n	NaN	KEYRESP
480.072	0	S33n	1	STIM
486.072	0	S33n	NaN	VERBALRESP
489.9	0	S33n	NaN	KEYRESP
497.072	0	S93n	1	STIM
503.072	0	S93n	NaN	VERBALRESP
507.413	0	S93n	NaN	KEYRESP
510.072	0	S39n	0	STIM
516.072	0	S39n	NaN	VERBALRESP
519.858	0	S39n	NaN	KEYRESP
526.072	0	S65n	1	STIM
532.072	0	S65n	NaN	VERBALRESP
536.059	0	S65n	NaN	KEYRESP
544.089	0	S67n	2	STIM
550.089	0	S67n	NaN	VERBALRESP
553.827	0	S67n	NaN	KEYRESP
561.105	0	S26n	1	STIM
567.105	0	S26n	NaN	VERBALRESP
571.094	0	S26n	NaN	KEYRESP
580.105	0	S84n	0	STIM
586.105	0	S84n	NaN	VERBALRESP
590.003	0	S84n	NaN	KEYRESP
598.105	0	S23n	2	STIM
604.105	0	S23n	NaN	VERBALRESP
608.186	0	S23n	NaN	KEYRESP
615.173	0	S60n	1	STIM
621.173	0	S60n	NaN	VERBALRESP
