onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.021	0	L205	2	2	STIM_LOGO
3.021	5	L205	2	2	RETENTION_LOGO
8.021	0	L205	NaN	NaN	VERBALRESP_LOGO
11.868	0	L205	NaN	NaN	KEYRESP_LOGO
15.038	0	L2	2	2	STIM_LOGO
16.038	5	L2	2	2	RETENTION_LOGO
21.038	0	L2	NaN	NaN	VERBALRESP_LOGO
24.452	0	L2	NaN	NaN	KEYRESP_LOGO
30.054	0	L318	0	2	STIM_LOGO
31.054	5	L318	0	2	RETENTION_LOGO
36.054	0	L318	NaN	NaN	VERBALRESP_LOGO
39.616	0	L318	NaN	NaN	KEYRESP_LOGO
42.054	0	L374	2	1	STIM_LOGO
43.054	5	L374	2	1	RETENTION_LOGO
48.055	0	L374	NaN	NaN	VERBALRESP_LOGO
52.109	0	L374	NaN	NaN	KEYRESP_LOGO
54.055	0	L333	0	1	STIM_LOGO
55.055	5	L333	0	1	RETENTION_LOGO
60.055	0	L333	NaN	NaN	VERBALRESP_LOGO
63.502	0	L333	NaN	NaN	KEYRESP_LOGO
68.055	0	L35	1	2	STIM_LOGO
69.055	5	L35	1	2	RETENTION_LOGO
74.055	0	L35	NaN	NaN	VERBALRESP_LOGO
77.489	0	L35	NaN	NaN	KEYRESP_LOGO
82.055	0	L271	0	2	STIM_LOGO
83.055	5	L271	0	2	RETENTION_LOGO
88.055	0	L271	NaN	NaN	VERBALRESP_LOGO
92.189	0	L271	NaN	NaN	KEYRESP_LOGO
95.055	0	L21	1	2	STIM_LOGO
96.055	5	L21	1	2	RETENTION_LOGO
101.055	0	L21	NaN	NaN	VERBALRESP_LOGO
104.846	0	L21	NaN	NaN	KEYRESP_LOGO
107.055	0	L217	0	1	STIM_LOGO
108.055	5	L217	0	1	RETENTION_LOGO
113.055	0	L217	NaN	NaN	VERBALRESP_LOGO
117.29	0	L217	NaN	NaN	KEYRESP_LOGO
120.072	0	L26	0	2	STIM_LOGO
121.072	5	L26	0	2	RETENTION_LOGO
126.072	0	L26	NaN	NaN	VERBALRESP_LOGO
130.197	0	L26	NaN	NaN	KEYRESP_LOGO
138.088	0	L219	1	2	STIM_LOGO
139.088	5	L219	1	2	RETENTION_LOGO
144.089	0	L219	NaN	NaN	VERBALRESP_LOGO
147.624	0	L219	NaN	NaN	KEYRESP_LOGO
150.089	0	L270	0	2	STIM_LOGO
151.089	5	L270	0	2	RETENTION_LOGO
156.089	0	L270	NaN	NaN	VERBALRESP_LOGO
159.525	0	L270	NaN	NaN	KEYRESP_LOGO
169.089	0	L286	1	2	STIM_LOGO
170.089	5	L286	1	2	RETENTION_LOGO
175.089	0	L286	NaN	NaN	VERBALRESP_LOGO
178.813	0	L286	NaN	NaN	KEYRESP_LOGO
186.089	0	L71	1	2	STIM_LOGO
187.089	5	L71	1	2	RETENTION_LOGO
192.089	0	L71	NaN	NaN	VERBALRESP_LOGO
196.033	0	L71	NaN	NaN	KEYRESP_LOGO
205.089	0	L440	2	2	STIM_LOGO
206.089	5	L440	2	2	RETENTION_LOGO
211.089	0	L440	NaN	NaN	VERBALRESP_LOGO
214.652	0	L440	NaN	NaN	KEYRESP_LOGO
218.089	0	L375	1	2	STIM_LOGO
219.089	5	L375	1	2	RETENTION_LOGO
224.089	0	L375	NaN	NaN	VERBALRESP_LOGO
