onset	duration	stim_filename	verbal_resp	event_type
2.063	0	S122n	2	STIM
8.063	0	S122n	NaN	VERBALRESP
12.031	0	S122n	NaN	KEYRESP
15.08	0	S123n	2	STIM
21.08	0	S123n	NaN	VERBALRESP
24.957	0	S123n	NaN	KEYRESP
27.08	0	S3n	1	STIM
33.08	0	S3n	NaN	VERBALRESP
36.722	0	S3n	NaN	KEYRESP
39.08	0	S74n	1	STIM
45.08	0	S74n	NaN	VERBALRESP
48.652	0	S74n	NaN	KEYRESP
53.08	0	S22n	0	STIM
59.08	0	S22n	NaN	VERBALRESP
63.199	0	S22n	NaN	KEYRESP
69.08	0	S76n	1	STIM
75.08	0	S76n	NaN	VERBALRESP
78.77	0	S76n	NaN	KEYRESP
87.08	0	S79n	1	STIM
93.08	0	S79n	NaN	VERBALRESP
96.956	0	S79n	NaN	KEYRESP
104.08	0	S49n	1	STIM
110.08	0	S49n	NaN	VERBALRESP
114.067	0	S49n	NaN	KEYRESP
117.08	0	S62n	1	STIM
123.08	0	S62n	NaN	VERBALRESP
126.863	0	S62n	NaN	KEYRESP
131.08	0	S35n	0	STIM
137.08	0	S35n	NaN	VERBALRESP
140.704	0	S35n	NaN	KEYRESP
143.081	0	S96n	1	STIM
149.081	0	S96n	NaN	VERBALRESP
152.684	0	S96n	NaN	KEYRESP
159.081	0	S63n	0	STIM
165.081	0	S63n	NaN	VERBALRESP
169.039	0	S63n	NaN	KEYRESP
171.081	0	S84n	0	STIM
177.081	0	S84n	NaN	VERBALRESP
180.717	0	S84n	NaN	KEYRESP
188.081	0	S2n	1	STIM
194.081	0	S2n	NaN	VERBALRESP
197.885	0	S2n	NaN	KEYRESP
201.081	0	S16n	0	STIM
207.081	0	S16n	NaN	VERBALRESP
210.958	0	S16n	NaN	KEYRESP
218.098	0	S7n	0	STIM
224.098	0	S7n	NaN	VERBALRESP
227.936	0	S7n	NaN	KEYRESP
234.114	0	S81n	0	STIM
240.114	0	S81n	NaN	VERBALRESP
244.166	0	S81n	NaN	KEYRESP
248.115	0	S80n	1	STIM
254.115	0	S80n	NaN	VERBALRESP
258.002	0	S80n	NaN	KEYRESP
261.115	0	S45n	0	STIM
267.115	0	S45n	NaN	VERBALRESP
270.802	0	S45n	NaN	KEYRESP
273.115	0	S37n	2	STIM
279.115	0	S37n	NaN	VERBALRESP
282.936	0	S37n	NaN	KEYRESP
288.115	0	S14n	0	STIM
294.115	0	S14n	NaN	VERBALRESP
298.202	0	S14n	NaN	KEYRESP
305.115	0	S47n	1	STIM
311.115	0	S47n	NaN	VERBALRESP
315.081	0	S47n	NaN	KEYRESP
322.115	0	S90n	0	STIM
328.115	0	S90n	NaN	VERBALRESP
331.955	0	S90n	NaN	KEYRESP
336.115	0	S23n	2	STIM
342.115	0	S23n	NaN	VERBALRESP
346.05	0	S23n	NaN	KEYRESP
354.115	0	S31n	1	STIM
360.115	0	S31n	NaN	VERBALRESP
363.916	0	S31n	NaN	KEYRESP
373.115	0	S50n	1	STIM
379.115	0	S50n	NaN	VERBALRESP
382.929	0	S50n	NaN	KEYRESP
388.115	0	S48n	2	STIM
394.115	0	S48n	NaN	VERBALRESP
397.778	0	S48n	NaN	KEYRESP
401.115	0	S75n	2	STIM
407.115	0	S75n	NaN	VERBALRESP
410.594	0	S75n	NaN	KEYRESP
413.115	0	S67n	1	STIM
419.116	0	S67n	NaN	VERBALRESP
422.714	0	S67n	NaN	KEYRESP
428.116	0	S34n	1	STIM
434.116	0	S34n	NaN	VERBALRESP
437.731	0	S34n	NaN	KEYRESP
443.116	0	S21n	0	STIM
449.116	0	S21n	NaN	VERBALRESP
452.652	0	S21n	NaN	KEYRESP
462.116	0	S60n	1	STIM
468.116	0	S60n	NaN	VERBALRESP
471.728	0	S60n	NaN	KEYRESP
478.116	0	S71n	1	STIM
484.116	0	S71n	NaN	VERBALRESP
488.075	0	S71n	NaN	KEYRESP
491.116	0	S30n	0	STIM
497.116	0	S30n	NaN	VERBALRESP
500.659	0	S30n	NaN	KEYRESP
510.116	0	S57n	0	STIM
516.116	0	S57n	NaN	VERBALRESP
520.33	0	S57n	NaN	KEYRESP
523.116	0	S73n	0	STIM
529.116	0	S73n	NaN	VERBALRESP
532.681	0	S73n	NaN	KEYRESP
542.116	0	S56n	0	STIM
548.116	0	S56n	NaN	VERBALRESP
551.749	0	S56n	NaN	KEYRESP
558.116	0	S33n	1	STIM
564.117	0	S33n	NaN	VERBALRESP
567.78	0	S33n	NaN	KEYRESP
572.117	0	S51n	0	STIM
578.117	0	S51n	NaN	VERBALRESP
582.077	0	S51n	NaN	KEYRESP
584.117	0	S78n	1	STIM
590.117	0	S78n	NaN	VERBALRESP
594.685	0	S78n	NaN	KEYRESP
597.117	0	S15n	2	STIM
603.117	0	S15n	NaN	VERBALRESP
607.536	0	S15n	NaN	KEYRESP
615.117	0	S61n	0	STIM
621.117	0	S61n	NaN	VERBALRESP
624.835	0	S61n	NaN	KEYRESP
