onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.045	0	L108	1	1	STIM_LOGO
3.045	5	L108	1	1	RETENTION_LOGO
8.045	0	L108	NaN	NaN	VERBALRESP_LOGO
11.862	0	L108	NaN	NaN	KEYRESP_LOGO
15.062	0	L246	1	1	STIM_LOGO
16.062	5	L246	1	1	RETENTION_LOGO
21.062	0	L246	NaN	NaN	VERBALRESP_LOGO
24.824	0	L246	NaN	NaN	KEYRESP_LOGO
28.062	0	L80	0	1	STIM_LOGO
29.062	5	L80	0	1	RETENTION_LOGO
34.062	0	L80	NaN	NaN	VERBALRESP_LOGO
37.925	0	L80	NaN	NaN	KEYRESP_LOGO
42.062	0	L3	1	2	STIM_LOGO
43.062	5	L3	1	2	RETENTION_LOGO
48.062	0	L3	NaN	NaN	VERBALRESP_LOGO
52.053	0	L3	NaN	NaN	KEYRESP_LOGO
54.062	0	L214	1	1	STIM_LOGO
55.062	5	L214	1	1	RETENTION_LOGO
60.062	0	L214	NaN	NaN	VERBALRESP_LOGO
65.014	0	L214	NaN	NaN	KEYRESP_LOGO
71.095	0	L217	0	0	STIM_LOGO
72.095	5	L217	0	0	RETENTION_LOGO
77.095	0	L217	NaN	NaN	VERBALRESP_LOGO
85.179	0	L43	1	2	STIM_LOGO
86.179	5	L43	1	2	RETENTION_LOGO
91.179	0	L43	NaN	NaN	VERBALRESP_LOGO
96.187	0	L43	NaN	NaN	KEYRESP_LOGO
98.329	0	L342	0	1	STIM_LOGO
99.329	5	L342	0	1	RETENTION_LOGO
104.329	0	L342	NaN	NaN	VERBALRESP_LOGO
107.998	0	L342	NaN	NaN	KEYRESP_LOGO
117.346	0	L64	0	0	STIM_LOGO
118.346	5	L64	0	0	RETENTION_LOGO
123.346	0	L64	NaN	NaN	VERBALRESP_LOGO
132.429	0	L417	1	1	STIM_LOGO
133.429	5	L417	1	1	RETENTION_LOGO
138.429	0	L417	NaN	NaN	VERBALRESP_LOGO
142.843	0	L417	NaN	NaN	KEYRESP_LOGO
150.446	0	L26	2	1	STIM_LOGO
151.446	5	L26	2	1	RETENTION_LOGO
