onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.036	0	L121	2	2	STIM_LOGO
3.036	5	L121	2	2	RETENTION_LOGO
8.036	0	L121	NaN	NaN	VERBALRESP_LOGO
12.275	0	L121	NaN	NaN	KEYRESP_LOGO
15.053	0	L111	2	2	STIM_LOGO
16.053	5	L111	2	2	RETENTION_LOGO
21.053	0	L111	NaN	NaN	VERBALRESP_LOGO
25.776	0	L111	NaN	NaN	KEYRESP_LOGO
32.053	0	L39	0	2	STIM_LOGO
33.053	5	L39	0	2	RETENTION_LOGO
38.053	0	L39	NaN	NaN	VERBALRESP_LOGO
42.87	0	L39	NaN	NaN	KEYRESP_LOGO
45.053	0	L117	1	2	STIM_LOGO
46.053	5	L117	1	2	RETENTION_LOGO
51.053	0	L117	NaN	NaN	VERBALRESP_LOGO
54.828	0	L117	NaN	NaN	KEYRESP_LOGO
59.053	0	L81	0	2	STIM_LOGO
60.053	5	L81	0	2	RETENTION_LOGO
65.053	0	L81	NaN	NaN	VERBALRESP_LOGO
68.829	0	L81	NaN	NaN	KEYRESP_LOGO
71.053	0	L306	0	0	STIM_LOGO
72.053	5	L306	0	0	RETENTION_LOGO
77.053	0	L306	NaN	NaN	VERBALRESP_LOGO
86.136	0	L219	1	2	STIM_LOGO
87.136	5	L219	1	2	RETENTION_LOGO
92.136	0	L219	NaN	NaN	VERBALRESP_LOGO
96.245	0	L219	NaN	NaN	KEYRESP_LOGO
104.153	0	L238	1	2	STIM_LOGO
105.153	5	L238	1	2	RETENTION_LOGO
110.153	0	L238	NaN	NaN	VERBALRESP_LOGO
114.343	0	L238	NaN	NaN	KEYRESP_LOGO
116.153	0	L303	2	2	STIM_LOGO
117.153	5	L303	2	2	RETENTION_LOGO
122.153	0	L303	NaN	NaN	VERBALRESP_LOGO
126.823	0	L303	NaN	NaN	KEYRESP_LOGO
128.153	0	L233	1	2	STIM_LOGO
129.153	5	L233	1	2	RETENTION_LOGO
134.153	0	L233	NaN	NaN	VERBALRESP_LOGO
137.726	0	L233	NaN	NaN	KEYRESP_LOGO
142.153	0	L399	1	2	STIM_LOGO
143.153	5	L399	1	2	RETENTION_LOGO
148.153	0	L399	NaN	NaN	VERBALRESP_LOGO
151.707	0	L399	NaN	NaN	KEYRESP_LOGO
154.153	0	L267	1	2	STIM_LOGO
155.153	5	L267	1	2	RETENTION_LOGO
160.153	0	L267	NaN	NaN	VERBALRESP_LOGO
164.204	0	L267	NaN	NaN	KEYRESP_LOGO
169.153	0	L237	2	2	STIM_LOGO
170.153	5	L237	2	2	RETENTION_LOGO
175.153	0	L237	NaN	NaN	VERBALRESP_LOGO
