onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.036	0	L121	2	2	STIM_LOGO
3.036	5	L121	2	2	RETENTION_LOGO
8.036	0	L121	NaN	NaN	VERBALRESP_LOGO
12.415	0	L121	NaN	NaN	KEYRESP_LOGO
15.053	0	L111	2	2	STIM_LOGO
16.053	5	L111	2	2	RETENTION_LOGO
21.053	0	L111	NaN	NaN	VERBALRESP_LOGO
25.35	0	L111	NaN	NaN	KEYRESP_LOGO
32.053	0	L264	2	1	STIM_LOGO
33.053	5	L264	2	1	RETENTION_LOGO
38.053	0	L264	NaN	NaN	VERBALRESP_LOGO
42.486	0	L264	NaN	NaN	KEYRESP_LOGO
51.053	0	L46	1	2	STIM_LOGO
52.053	5	L46	1	2	RETENTION_LOGO
57.053	0	L46	NaN	NaN	VERBALRESP_LOGO
61.394	0	L46	NaN	NaN	KEYRESP_LOGO
63.054	0	L318	0	1	STIM_LOGO
64.054	5	L318	0	1	RETENTION_LOGO
69.054	0	L318	NaN	NaN	VERBALRESP_LOGO
73.646	0	L318	NaN	NaN	KEYRESP_LOGO
75.054	0	L63	1	2	STIM_LOGO
76.054	5	L63	1	2	RETENTION_LOGO
81.054	0	L63	NaN	NaN	VERBALRESP_LOGO
85.445	0	L63	NaN	NaN	KEYRESP_LOGO
88.054	0	L119	0	1	STIM_LOGO
89.054	5	L119	0	1	RETENTION_LOGO
94.054	0	L119	NaN	NaN	VERBALRESP_LOGO
98.386	0	L119	NaN	NaN	KEYRESP_LOGO
101.054	0	L4	0	1	STIM_LOGO
102.054	5	L4	0	1	RETENTION_LOGO
107.054	0	L4	NaN	NaN	VERBALRESP_LOGO
111.59	0	L4	NaN	NaN	KEYRESP_LOGO
115.054	0	L185	1	2	STIM_LOGO
116.054	5	L185	1	2	RETENTION_LOGO
121.054	0	L185	NaN	NaN	VERBALRESP_LOGO
125.082	0	L185	NaN	NaN	KEYRESP_LOGO
130.054	0	L164	1	2	STIM_LOGO
131.054	5	L164	1	2	RETENTION_LOGO
136.054	0	L164	NaN	NaN	VERBALRESP_LOGO
140.254	0	L164	NaN	NaN	KEYRESP_LOGO
144.054	0	L395	1	2	STIM_LOGO
145.054	5	L395	1	2	RETENTION_LOGO
150.054	0	L395	NaN	NaN	VERBALRESP_LOGO
153.944	0	L395	NaN	NaN	KEYRESP_LOGO
158.054	0	L295	1	2	STIM_LOGO
159.054	5	L295	1	2	RETENTION_LOGO
164.054	0	L295	NaN	NaN	VERBALRESP_LOGO
168.276	0	L295	NaN	NaN	KEYRESP_LOGO
177.071	0	L405	1	2	STIM_LOGO
178.071	5	L405	1	2	RETENTION_LOGO
