onset	duration	stim_filename	verbal_resp	event_type
2.035	0	S124n	2	STIM
8.035	0	S124n	NaN	VERBALRESP
11.506	0	S124n	NaN	KEYRESP
15.052	0	S125n	2	STIM
21.052	0	S125n	NaN	VERBALRESP
24.477	0	S125n	NaN	KEYRESP
30.052	0	S35n	1	STIM
36.052	0	S35n	NaN	VERBALRESP
39.63	0	S35n	NaN	KEYRESP
42.052	0	S74n	1	STIM
48.052	0	S74n	NaN	VERBALRESP
51.398	0	S74n	NaN	KEYRESP
59.052	0	S72n	1	STIM
65.052	0	S72n	NaN	VERBALRESP
68.384	0	S72n	NaN	KEYRESP
78.052	0	S43n	0	STIM
84.052	0	S43n	NaN	VERBALRESP
87.678	0	S43n	NaN	KEYRESP
92.052	0	S30n	0	STIM
98.052	0	S30n	NaN	VERBALRESP
101.429	0	S30n	NaN	KEYRESP
110.052	0	S86n	0	STIM
116.052	0	S86n	NaN	VERBALRESP
119.398	0	S86n	NaN	KEYRESP
124.052	0	S42n	1	STIM
130.052	0	S42n	NaN	VERBALRESP
133.678	0	S42n	NaN	KEYRESP
138.052	0	S53n	0	STIM
144.052	0	S53n	NaN	VERBALRESP
147.605	0	S53n	NaN	KEYRESP
151.052	0	S84n	0	STIM
157.052	0	S84n	NaN	VERBALRESP
160.411	0	S84n	NaN	KEYRESP
168.052	0	S59n	0	STIM
174.052	0	S59n	NaN	VERBALRESP
177.388	0	S59n	NaN	KEYRESP
185.052	0	S37n	0	STIM
191.052	0	S37n	NaN	VERBALRESP
194.387	0	S37n	NaN	KEYRESP
201.052	0	S44n	1	STIM
207.052	0	S44n	NaN	VERBALRESP
210.435	0	S44n	NaN	KEYRESP
219.052	0	S27n	0	STIM
225.052	0	S27n	NaN	VERBALRESP
228.558	0	S27n	NaN	KEYRESP
238.053	0	S75n	1	STIM
244.053	0	S75n	NaN	VERBALRESP
247.358	0	S75n	NaN	KEYRESP
250.053	0	S61n	1	STIM
256.053	0	S61n	NaN	VERBALRESP
259.364	0	S61n	NaN	KEYRESP
267.053	0	S58n	0	STIM
273.053	0	S58n	NaN	VERBALRESP
277.012	0	S58n	NaN	KEYRESP
281.053	0	S79n	1	STIM
287.053	0	S79n	NaN	VERBALRESP
291.067	0	S79n	NaN	KEYRESP
299.053	0	S22n	0	STIM
305.053	0	S22n	NaN	VERBALRESP
308.559	0	S22n	NaN	KEYRESP
311.069	0	S16n	1	STIM
317.069	0	S16n	NaN	VERBALRESP
320.74	0	S16n	NaN	KEYRESP
324.086	0	S60n	1	STIM
330.086	0	S60n	NaN	VERBALRESP
333.578	0	S60n	NaN	KEYRESP
337.086	0	S96n	1	STIM
343.086	0	S96n	NaN	VERBALRESP
346.505	0	S96n	NaN	KEYRESP
353.086	0	S73n	0	STIM
359.086	0	S73n	NaN	VERBALRESP
362.444	0	S73n	NaN	KEYRESP
366.086	0	S25n	0	STIM
372.086	0	S25n	NaN	VERBALRESP
375.819	0	S25n	NaN	KEYRESP
382.086	0	S63n	0	STIM
388.086	0	S63n	NaN	VERBALRESP
391.829	0	S63n	NaN	KEYRESP
394.086	0	S40n	0	STIM
400.086	0	S40n	NaN	VERBALRESP
403.554	0	S40n	NaN	KEYRESP
406.086	0	S48n	0	STIM
412.086	0	S48n	NaN	VERBALRESP
415.493	0	S48n	NaN	KEYRESP
423.086	0	S26n	1	STIM
429.087	0	S26n	NaN	VERBALRESP
432.547	0	S26n	NaN	KEYRESP
435.087	0	S85n	2	STIM
441.087	0	S85n	NaN	VERBALRESP
444.487	0	S85n	NaN	KEYRESP
454.087	0	S14n	0	STIM
460.087	0	S14n	NaN	VERBALRESP
463.757	0	S14n	NaN	KEYRESP
467.087	0	S92n	1	STIM
473.087	0	S92n	NaN	VERBALRESP
476.468	0	S92n	NaN	KEYRESP
483.087	0	S7n	0	STIM
489.087	0	S7n	NaN	VERBALRESP
492.861	0	S7n	NaN	KEYRESP
502.087	0	S15n	1	STIM
508.087	0	S15n	NaN	VERBALRESP
511.392	0	S15n	NaN	KEYRESP
518.087	0	S65n	1	STIM
524.087	0	S65n	NaN	VERBALRESP
527.495	0	S65n	NaN	KEYRESP
530.087	0	S93n	1	STIM
536.087	0	S93n	NaN	VERBALRESP
539.826	0	S93n	NaN	KEYRESP
545.087	0	S68n	0	STIM
551.087	0	S68n	NaN	VERBALRESP
554.595	0	S68n	NaN	KEYRESP
558.087	0	S11n	0	STIM
564.087	0	S11n	NaN	VERBALRESP
567.41	0	S11n	NaN	KEYRESP
573.087	0	S28n	0	STIM
579.087	0	S28n	NaN	VERBALRESP
582.439	0	S28n	NaN	KEYRESP
587.087	0	S5n	1	STIM
593.087	0	S5n	NaN	VERBALRESP
596.385	0	S5n	NaN	KEYRESP
602.087	0	S32n	0	STIM
608.087	0	S32n	NaN	VERBALRESP
611.48	0	S32n	NaN	KEYRESP
615.114	0	S23n	0	STIM
621.114	0	S23n	NaN	VERBALRESP
624.961	0	S23n	NaN	KEYRESP
