onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.026	0	L36	2	2	STIM_LOGO
3.026	5	L36	2	2	RETENTION_LOGO
8.026	0	L36	NaN	NaN	VERBALRESP_LOGO
12.213	0	L36	NaN	NaN	KEYRESP_LOGO
15.043	0	L434	2	1	STIM_LOGO
16.043	5	L434	2	1	RETENTION_LOGO
21.043	0	L434	NaN	NaN	VERBALRESP_LOGO
25.369	0	L434	NaN	NaN	KEYRESP_LOGO
28.043	0	L279	0	1	STIM_LOGO
29.043	5	L279	0	1	RETENTION_LOGO
34.043	0	L279	NaN	NaN	VERBALRESP_LOGO
38.211	0	L279	NaN	NaN	KEYRESP_LOGO
45.043	0	L303	1	2	STIM_LOGO
46.043	5	L303	1	2	RETENTION_LOGO
51.043	0	L303	NaN	NaN	VERBALRESP_LOGO
55.277	0	L303	NaN	NaN	KEYRESP_LOGO
63.043	0	L160	1	2	STIM_LOGO
64.043	5	L160	1	2	RETENTION_LOGO
69.043	0	L160	NaN	NaN	VERBALRESP_LOGO
73.44	0	L160	NaN	NaN	KEYRESP_LOGO
78.044	0	L219	1	2	STIM_LOGO
79.044	5	L219	1	2	RETENTION_LOGO
84.044	0	L219	NaN	NaN	VERBALRESP_LOGO
88.023	0	L219	NaN	NaN	KEYRESP_LOGO
97.044	0	L72	1	2	STIM_LOGO
98.044	5	L72	1	2	RETENTION_LOGO
103.044	0	L72	NaN	NaN	VERBALRESP_LOGO
106.628	0	L72	NaN	NaN	KEYRESP_LOGO
112.061	0	L173	1	2	STIM_LOGO
113.061	5	L173	1	2	RETENTION_LOGO
118.061	0	L173	NaN	NaN	VERBALRESP_LOGO
121.99	0	L173	NaN	NaN	KEYRESP_LOGO
129.078	0	L329	1	1	STIM_LOGO
130.078	5	L329	1	1	RETENTION_LOGO
135.078	0	L329	NaN	NaN	VERBALRESP_LOGO
139.183	0	L329	NaN	NaN	KEYRESP_LOGO
143.078	0	L119	1	2	STIM_LOGO
144.078	5	L119	1	2	RETENTION_LOGO
149.078	0	L119	NaN	NaN	VERBALRESP_LOGO
153.392	0	L119	NaN	NaN	KEYRESP_LOGO
156.078	0	L340	1	2	STIM_LOGO
157.078	5	L340	1	2	RETENTION_LOGO
162.078	0	L340	NaN	NaN	VERBALRESP_LOGO
165.956	0	L340	NaN	NaN	KEYRESP_LOGO
168.078	0	L218	1	1	STIM_LOGO
169.078	5	L218	1	1	RETENTION_LOGO
174.078	0	L218	NaN	NaN	VERBALRESP_LOGO
178.213	0	L218	NaN	NaN	KEYRESP_LOGO
184.078	0	L207	1	2	STIM_LOGO
185.078	5	L207	1	2	RETENTION_LOGO
190.078	0	L207	NaN	NaN	VERBALRESP_LOGO
194.327	0	L207	NaN	NaN	KEYRESP_LOGO
197.078	0	L191	1	2	STIM_LOGO
198.078	5	L191	1	2	RETENTION_LOGO
203.079	0	L191	NaN	NaN	VERBALRESP_LOGO
207.025	0	L191	NaN	NaN	KEYRESP_LOGO
211.079	0	L33	1	2	STIM_LOGO
212.079	5	L33	1	2	RETENTION_LOGO
217.079	0	L33	NaN	NaN	VERBALRESP_LOGO
220.964	0	L33	NaN	NaN	KEYRESP_LOGO
230.079	0	L384	1	2	STIM_LOGO
231.079	5	L384	1	2	RETENTION_LOGO
236.079	0	L384	NaN	NaN	VERBALRESP_LOGO
239.948	0	L384	NaN	NaN	KEYRESP_LOGO
246.079	0	L240	0	1	STIM_LOGO
247.079	5	L240	0	1	RETENTION_LOGO
252.079	0	L240	NaN	NaN	VERBALRESP_LOGO
256.383	0	L240	NaN	NaN	KEYRESP_LOGO
262.079	0	L186	1	2	STIM_LOGO
263.079	5	L186	1	2	RETENTION_LOGO
268.079	0	L186	NaN	NaN	VERBALRESP_LOGO
271.948	0	L186	NaN	NaN	KEYRESP_LOGO
277.079	0	L399	1	2	STIM_LOGO
