onset	duration	stim_filename	verbal_resp	event_type
2.676	0	S124n	2	STIM
8.676	0	S124n	NaN	VERBALRESP
12.294	0	S124n	NaN	KEYRESP
15.676	0	S125n	2	STIM
21.676	0	S125n	NaN	VERBALRESP
25.223	0	S125n	NaN	KEYRESP
29.676	0	S55n	1	STIM
35.676	0	S55n	NaN	VERBALRESP
39.416	0	S55n	NaN	KEYRESP
48.676	0	S70n	2	STIM
54.676	0	S70n	NaN	VERBALRESP
58.336	0	S70n	NaN	KEYRESP
66.676	0	S25n	1	STIM
72.676	0	S25n	NaN	VERBALRESP
76.373	0	S25n	NaN	KEYRESP
80.676	0	S46n	1	STIM
86.676	0	S46n	NaN	VERBALRESP
90.193	0	S46n	NaN	KEYRESP
95.676	0	S21n	0	STIM
101.676	0	S21n	NaN	VERBALRESP
105.453	0	S21n	NaN	KEYRESP
111.676	0	S58n	0	STIM
117.676	0	S58n	NaN	VERBALRESP
121.837	0	S58n	NaN	KEYRESP
128.676	0	S51n	2	STIM
134.676	0	S51n	NaN	VERBALRESP
138.201	0	S51n	NaN	KEYRESP
140.676	0	S24n	2	STIM
146.676	0	S24n	NaN	VERBALRESP
150.615	0	S24n	NaN	KEYRESP
152.676	0	S40n	2	STIM
158.676	0	S40n	NaN	VERBALRESP
162.401	0	S40n	NaN	KEYRESP
169.676	0	S35n	1	STIM
175.676	0	S35n	NaN	VERBALRESP
179.708	0	S35n	NaN	KEYRESP
183.676	0	S68n	0	STIM
189.676	0	S68n	NaN	VERBALRESP
193.191	0	S68n	NaN	KEYRESP
198.676	0	S61n	1	STIM
204.676	0	S61n	NaN	VERBALRESP
208.438	0	S61n	NaN	KEYRESP
211.676	0	S20n	1	STIM
217.676	0	S20n	NaN	VERBALRESP
221.944	0	S20n	NaN	KEYRESP
228.676	0	S7n	0	STIM
234.676	0	S7n	NaN	VERBALRESP
238.266	0	S7n	NaN	KEYRESP
240.676	0	S42n	1	STIM
246.676	0	S42n	NaN	VERBALRESP
250.638	0	S42n	NaN	KEYRESP
257.676	0	S86n	3	STIM
263.676	0	S86n	NaN	VERBALRESP
268.185	0	S86n	NaN	KEYRESP
270.676	0	S49n	1	STIM
276.676	0	S49n	NaN	VERBALRESP
280.554	0	S49n	NaN	KEYRESP
286.676	0	S56n	2	STIM
292.676	0	S56n	NaN	VERBALRESP
296.415	0	S56n	NaN	KEYRESP
302.676	0	S16n	1	STIM
308.676	0	S16n	NaN	VERBALRESP
312.123	0	S16n	NaN	KEYRESP
320.676	0	S60n	1	STIM
326.676	0	S60n	NaN	VERBALRESP
330.516	0	S60n	NaN	KEYRESP
339.676	0	S72n	1	STIM
345.676	0	S72n	NaN	VERBALRESP
349.466	0	S72n	NaN	KEYRESP
351.676	0	S81n	0	STIM
357.676	0	S81n	NaN	VERBALRESP
361.326	0	S81n	NaN	KEYRESP
364.676	0	S80n	1	STIM
370.676	0	S80n	NaN	VERBALRESP
374.298	0	S80n	NaN	KEYRESP
382.676	0	S92n	1	STIM
388.676	0	S92n	NaN	VERBALRESP
392.383	0	S92n	NaN	KEYRESP
397.676	0	S75n	1	STIM
403.676	0	S75n	NaN	VERBALRESP
407.714	0	S75n	NaN	KEYRESP
409.693	0	S65n	1	STIM
415.693	0	S65n	NaN	VERBALRESP
419.252	0	S65n	NaN	KEYRESP
426.71	0	S69n	0	STIM
432.71	0	S69n	NaN	VERBALRESP
436.255	0	S69n	NaN	KEYRESP
438.71	0	S76n	1	STIM
444.71	0	S76n	NaN	VERBALRESP
448.368	0	S76n	NaN	KEYRESP
451.71	0	S90n	0	STIM
457.71	0	S90n	NaN	VERBALRESP
461.387	0	S90n	NaN	KEYRESP
467.71	0	S3n	1	STIM
473.71	0	S3n	NaN	VERBALRESP
477.67	0	S3n	NaN	KEYRESP
480.71	0	S48n	0	STIM
486.71	0	S48n	NaN	VERBALRESP
490.332	0	S48n	NaN	KEYRESP
496.71	0	S31n	1	STIM
502.71	0	S31n	NaN	VERBALRESP
506.229	0	S31n	NaN	KEYRESP
510.71	0	S22n	0	STIM
516.71	0	S22n	NaN	VERBALRESP
520.285	0	S22n	NaN	KEYRESP
523.71	0	S44n	2	STIM
529.71	0	S44n	NaN	VERBALRESP
533.427	0	S44n	NaN	KEYRESP
538.71	0	S39n	0	STIM
544.71	0	S39n	NaN	VERBALRESP
548.245	0	S39n	NaN	KEYRESP
557.71	0	S43n	0	STIM
563.71	0	S43n	NaN	VERBALRESP
567.246	0	S43n	NaN	KEYRESP
576.71	0	S33n	1	STIM
582.71	0	S33n	NaN	VERBALRESP
587.013	0	S33n	NaN	KEYRESP
589.71	0	S74n	1	STIM
595.71	0	S74n	NaN	VERBALRESP
599.464	0	S74n	NaN	KEYRESP
603.71	0	S27n	0	STIM
609.71	0	S27n	NaN	VERBALRESP
613.252	0	S27n	NaN	KEYRESP
615.475	0	S82n	0	STIM
621.475	0	S82n	NaN	VERBALRESP
625.044	0	S82n	NaN	KEYRESP
