onset	duration	stim_filename	verbal_resp	event_type
2.402	0	S122n	2	STIM
8.402	0	S122n	NaN	VERBALRESP
13.257	0	S122n	NaN	KEYRESP
15.919	0	S123n	2	STIM
21.919	0	S123n	NaN	VERBALRESP
25.841	0	S123n	NaN	KEYRESP
27.936	0	S86n	0	STIM
33.936	0	S86n	NaN	VERBALRESP
37.594	0	S86n	NaN	KEYRESP
44.936	0	S46n	1	STIM
50.936	0	S46n	NaN	VERBALRESP
54.51	0	S46n	NaN	KEYRESP
61.936	0	S51n	2	STIM
67.936	0	S51n	NaN	VERBALRESP
71.657	0	S51n	NaN	KEYRESP
74.936	0	S90n	0	STIM
80.936	0	S90n	NaN	VERBALRESP
85.015	0	S90n	NaN	KEYRESP
93.935	0	S63n	0	STIM
99.935	0	S63n	NaN	VERBALRESP
103.385	0	S63n	NaN	KEYRESP
107.935	0	S16n	1	STIM
113.935	0	S16n	NaN	VERBALRESP
117.431	0	S16n	NaN	KEYRESP
126.935	0	S33n	1	STIM
132.935	0	S33n	NaN	VERBALRESP
136.469	0	S33n	NaN	KEYRESP
139.935	0	S68n	0	STIM
145.935	0	S68n	NaN	VERBALRESP
149.447	0	S68n	NaN	KEYRESP
158.935	0	S10n	0	STIM
164.935	0	S10n	NaN	VERBALRESP
168.456	0	S10n	NaN	KEYRESP
173.935	0	S31n	1	STIM
179.935	0	S31n	NaN	VERBALRESP
183.47	0	S31n	NaN	KEYRESP
185.935	0	S42n	1	STIM
191.935	0	S42n	NaN	VERBALRESP
195.383	0	S42n	NaN	KEYRESP
199.935	0	S72n	1	STIM
205.935	0	S72n	NaN	VERBALRESP
209.682	0	S72n	NaN	KEYRESP
215.935	0	S25n	0	STIM
221.935	0	S25n	NaN	VERBALRESP
225.506	0	S25n	NaN	KEYRESP
234.935	0	S34n	1	STIM
240.935	0	S34n	NaN	VERBALRESP
244.451	0	S34n	NaN	KEYRESP
247.935	0	S28n	0	STIM
253.935	0	S28n	NaN	VERBALRESP
257.463	0	S28n	NaN	KEYRESP
263.935	0	S75n	2	STIM
269.935	0	S75n	NaN	VERBALRESP
273.561	0	S75n	NaN	KEYRESP
279.952	0	S70n	2	STIM
285.952	0	S70n	NaN	VERBALRESP
289.567	0	S70n	NaN	KEYRESP
296.968	0	S38n	0	STIM
302.968	0	S38n	NaN	VERBALRESP
306.521	0	S38n	NaN	KEYRESP
309.968	0	S93n	1	STIM
315.968	0	S93n	NaN	VERBALRESP
319.608	0	S93n	NaN	KEYRESP
321.968	0	S32n	1	STIM
327.968	0	S32n	NaN	VERBALRESP
331.461	0	S32n	NaN	KEYRESP
334.968	0	S50n	1	STIM
340.968	0	S50n	NaN	VERBALRESP
344.689	0	S50n	NaN	KEYRESP
348.968	0	S78n	1	STIM
354.968	0	S78n	NaN	VERBALRESP
358.518	0	S78n	NaN	KEYRESP
361.968	0	S55n	1	STIM
367.968	0	S55n	NaN	VERBALRESP
371.453	0	S55n	NaN	KEYRESP
373.968	0	S41n	1	STIM
379.968	0	S41n	NaN	VERBALRESP
383.434	0	S41n	NaN	KEYRESP
387.968	0	S14n	0	STIM
393.968	0	S14n	NaN	VERBALRESP
397.665	0	S14n	NaN	KEYRESP
399.968	0	S79n	1	STIM
405.968	0	S79n	NaN	VERBALRESP
409.429	0	S79n	NaN	KEYRESP
411.968	0	S30n	0	STIM
417.968	0	S30n	NaN	VERBALRESP
421.652	0	S30n	NaN	KEYRESP
427.968	0	S23n	2	STIM
433.968	0	S23n	NaN	VERBALRESP
437.507	0	S23n	NaN	KEYRESP
445.968	0	S71n	1	STIM
451.968	0	S71n	NaN	VERBALRESP
455.435	0	S71n	NaN	KEYRESP
460.968	0	S7n	0	STIM
466.968	0	S7n	NaN	VERBALRESP
470.468	0	S7n	NaN	KEYRESP
475.968	0	S24n	0	STIM
481.968	0	S24n	NaN	VERBALRESP
485.98	0	S24n	NaN	KEYRESP
487.968	0	S8n	0	STIM
493.968	0	S8n	NaN	VERBALRESP
497.477	0	S8n	NaN	KEYRESP
505.968	0	S69n	0	STIM
511.968	0	S69n	NaN	VERBALRESP
515.45	0	S69n	NaN	KEYRESP
519.968	0	S29n	1	STIM
525.968	0	S29n	NaN	VERBALRESP
529.444	0	S29n	NaN	KEYRESP
534.968	0	S95n	2	STIM
540.968	0	S95n	NaN	VERBALRESP
544.504	0	S95n	NaN	KEYRESP
550.968	0	S11n	0	STIM
556.968	0	S11n	NaN	VERBALRESP
560.596	0	S11n	NaN	KEYRESP
563.968	0	S52n	0	STIM
569.968	0	S52n	NaN	VERBALRESP
573.851	0	S52n	NaN	KEYRESP
581.968	0	S67n	1	STIM
587.968	0	S67n	NaN	VERBALRESP
591.608	0	S67n	NaN	KEYRESP
598.968	0	S85n	1	STIM
604.968	0	S85n	NaN	VERBALRESP
608.52	0	S85n	NaN	KEYRESP
615.968	0	S74n	0	STIM
621.968	0	S74n	NaN	VERBALRESP
625.437	0	S74n	NaN	KEYRESP
