onset	duration	stim_filename	verbal_resp	event_type
2.024	0	S124n	2	STIM
8.024	0	S124n	NaN	VERBALRESP
11.65	0	S124n	NaN	KEYRESP
15.041	0	S125n	2	STIM
21.041	0	S125n	NaN	VERBALRESP
24.764	0	S125n	NaN	KEYRESP
31.041	0	S89n	1	STIM
37.041	0	S89n	NaN	VERBALRESP
40.821	0	S89n	NaN	KEYRESP
44.041	0	S57n	0	STIM
50.041	0	S57n	NaN	VERBALRESP
53.675	0	S57n	NaN	KEYRESP
63.041	0	S79n	1	STIM
69.041	0	S79n	NaN	VERBALRESP
72.617	0	S79n	NaN	KEYRESP
80.041	0	S48n	0	STIM
86.041	0	S48n	NaN	VERBALRESP
90.761	0	S48n	NaN	KEYRESP
95.041	0	S70n	0	STIM
101.041	0	S70n	NaN	VERBALRESP
104.694	0	S70n	NaN	KEYRESP
113.042	0	S37n	0	STIM
119.042	0	S37n	NaN	VERBALRESP
122.427	0	S37n	NaN	KEYRESP
127.042	0	S40n	0	STIM
133.042	0	S40n	NaN	VERBALRESP
136.689	0	S40n	NaN	KEYRESP
143.042	0	S95n	0	STIM
149.042	0	S95n	NaN	VERBALRESP
152.926	0	S95n	NaN	KEYRESP
156.042	0	S35n	1	STIM
162.042	0	S35n	NaN	VERBALRESP
165.699	0	S35n	NaN	KEYRESP
171.042	0	S25n	0	STIM
177.042	0	S25n	NaN	VERBALRESP
180.906	0	S25n	NaN	KEYRESP
187.042	0	S2n	1	STIM
193.042	0	S2n	NaN	VERBALRESP
197.321	0	S2n	NaN	KEYRESP
199.042	0	S41n	1	STIM
205.042	0	S41n	NaN	VERBALRESP
209.347	0	S41n	NaN	KEYRESP
216.042	0	S78n	1	STIM
222.042	0	S78n	NaN	VERBALRESP
225.706	0	S78n	NaN	KEYRESP
235.042	0	S3n	1	STIM
241.042	0	S3n	NaN	VERBALRESP
244.935	0	S3n	NaN	KEYRESP
248.042	0	S34n	1	STIM
254.042	0	S34n	NaN	VERBALRESP
258.121	0	S34n	NaN	KEYRESP
261.042	0	S92n	1	STIM
267.042	0	S92n	NaN	VERBALRESP
270.97	0	S92n	NaN	KEYRESP
273.042	0	S10n	0	STIM
279.042	0	S10n	NaN	VERBALRESP
282.962	0	S10n	NaN	KEYRESP
287.042	0	S51n	0	STIM
293.042	0	S51n	NaN	VERBALRESP
296.898	0	S51n	NaN	KEYRESP
304.042	0	S96n	1	STIM
310.042	0	S96n	NaN	VERBALRESP
314.099	0	S96n	NaN	KEYRESP
318.042	0	S60n	2	STIM
324.042	0	S60n	NaN	VERBALRESP
327.811	0	S60n	NaN	KEYRESP
337.042	0	S20n	2	STIM
343.042	0	S20n	NaN	VERBALRESP
347.049	0	S20n	NaN	KEYRESP
349.059	0	S45n	0	STIM
355.059	0	S45n	NaN	VERBALRESP
358.777	0	S45n	NaN	KEYRESP
366.076	0	S69n	0	STIM
372.076	0	S69n	NaN	VERBALRESP
376.273	0	S69n	NaN	KEYRESP
384.076	0	S62n	1	STIM
390.076	0	S62n	NaN	VERBALRESP
393.812	0	S62n	NaN	KEYRESP
400.076	0	S22n	0	STIM
406.076	0	S22n	NaN	VERBALRESP
409.808	0	S22n	NaN	KEYRESP
419.076	0	S61n	1	STIM
425.076	0	S61n	NaN	VERBALRESP
428.703	0	S61n	NaN	KEYRESP
432.076	0	S67n	1	STIM
438.076	0	S67n	NaN	VERBALRESP
441.823	0	S67n	NaN	KEYRESP
445.076	0	S64n	1	STIM
451.076	0	S64n	NaN	VERBALRESP
454.551	0	S64n	NaN	KEYRESP
459.076	0	S43n	0	STIM
465.076	0	S43n	NaN	VERBALRESP
468.771	0	S43n	NaN	KEYRESP
473.076	0	S26n	1	STIM
479.076	0	S26n	NaN	VERBALRESP
483.033	0	S26n	NaN	KEYRESP
486.076	0	S56n	0	STIM
492.076	0	S56n	NaN	VERBALRESP
495.702	0	S56n	NaN	KEYRESP
498.076	0	S55n	0	STIM
504.076	0	S55n	NaN	VERBALRESP
507.969	0	S55n	NaN	KEYRESP
513.076	0	S15n	1	STIM
519.076	0	S15n	NaN	VERBALRESP
522.811	0	S15n	NaN	KEYRESP
525.076	0	S42n	1	STIM
531.076	0	S42n	NaN	VERBALRESP
534.759	0	S42n	NaN	KEYRESP
543.076	0	S80n	1	STIM
549.076	0	S80n	NaN	VERBALRESP
553.851	0	S80n	NaN	KEYRESP
559.076	0	S83n	1	STIM
565.076	0	S83n	NaN	VERBALRESP
569.57	0	S83n	NaN	KEYRESP
574.077	0	S82n	0	STIM
580.077	0	S82n	NaN	VERBALRESP
583.905	0	S82n	NaN	KEYRESP
586.077	0	S65n	0	STIM
592.077	0	S65n	NaN	VERBALRESP
595.754	0	S65n	NaN	KEYRESP
598.077	0	S58n	0	STIM
604.077	0	S58n	NaN	VERBALRESP
607.751	0	S58n	NaN	KEYRESP
615.144	0	S14n	0	STIM
621.144	0	S14n	NaN	VERBALRESP
624.79	0	S14n	NaN	KEYRESP
