onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.036	0	L36	2	2	STIM_LOGO
3.036	5	L36	2	2	RETENTION_LOGO
8.036	0	L36	NaN	NaN	VERBALRESP_LOGO
12.062	0	L36	NaN	NaN	KEYRESP_LOGO
15.036	0	L434	2	1	STIM_LOGO
16.036	5	L434	2	1	RETENTION_LOGO
21.036	0	L434	NaN	NaN	VERBALRESP_LOGO
24.815	0	L434	NaN	NaN	KEYRESP_LOGO
34.036	0	L147	1	2	STIM_LOGO
35.036	5	L147	1	2	RETENTION_LOGO
40.036	0	L147	NaN	NaN	VERBALRESP_LOGO
44.402	0	L147	NaN	NaN	KEYRESP_LOGO
50.036	0	L143	0	2	STIM_LOGO
51.036	5	L143	0	2	RETENTION_LOGO
56.036	0	L143	NaN	NaN	VERBALRESP_LOGO
59.944	0	L143	NaN	NaN	KEYRESP_LOGO
68.037	0	L358	1	2	STIM_LOGO
69.036	5	L358	1	2	RETENTION_LOGO
74.037	0	L358	NaN	NaN	VERBALRESP_LOGO
78.104	0	L358	NaN	NaN	KEYRESP_LOGO
85.037	0	L261	0	1	STIM_LOGO
86.037	5	L261	0	1	RETENTION_LOGO
91.037	0	L261	NaN	NaN	VERBALRESP_LOGO
95.446	0	L261	NaN	NaN	KEYRESP_LOGO
102.037	0	L363	0	2	STIM_LOGO
103.037	5	L363	0	2	RETENTION_LOGO
108.037	0	L363	NaN	NaN	VERBALRESP_LOGO
112.258	0	L363	NaN	NaN	KEYRESP_LOGO
119.037	0	L305	1	2	STIM_LOGO
120.037	5	L305	1	2	RETENTION_LOGO
125.037	0	L305	NaN	NaN	VERBALRESP_LOGO
129.234	0	L305	NaN	NaN	KEYRESP_LOGO
137.037	0	L301	0	1	STIM_LOGO
138.037	5	L301	0	1	RETENTION_LOGO
143.037	0	L301	NaN	NaN	VERBALRESP_LOGO
146.999	0	L301	NaN	NaN	KEYRESP_LOGO
151.037	0	L319	1	2	STIM_LOGO
152.037	5	L319	1	2	RETENTION_LOGO
157.037	0	L319	NaN	NaN	VERBALRESP_LOGO
161.161	0	L319	NaN	NaN	KEYRESP_LOGO
164.037	0	L348	1	2	STIM_LOGO
165.037	5	L348	1	2	RETENTION_LOGO
170.037	0	L348	NaN	NaN	VERBALRESP_LOGO
174.396	0	L348	NaN	NaN	KEYRESP_LOGO
179.037	0	L135	1	2	STIM_LOGO
180.037	5	L135	1	2	RETENTION_LOGO
185.037	0	L135	NaN	NaN	VERBALRESP_LOGO
189.478	0	L135	NaN	NaN	KEYRESP_LOGO
191.037	0	L279	0	1	STIM_LOGO
192.037	5	L279	0	1	RETENTION_LOGO
197.037	0	L279	NaN	NaN	VERBALRESP_LOGO
201.319	0	L279	NaN	NaN	KEYRESP_LOGO
204.037	0	L50	1	2	STIM_LOGO
205.037	5	L50	1	2	RETENTION_LOGO
210.037	0	L50	NaN	NaN	VERBALRESP_LOGO
214.253	0	L50	NaN	NaN	KEYRESP_LOGO
219.037	0	L334	1	1	STIM_LOGO
220.037	5	L334	1	1	RETENTION_LOGO
225.037	0	L334	NaN	NaN	VERBALRESP_LOGO
229.417	0	L334	NaN	NaN	KEYRESP_LOGO
231.037	0	L138	1	2	STIM_LOGO
232.037	5	L138	1	2	RETENTION_LOGO
237.037	0	L138	NaN	NaN	VERBALRESP_LOGO
241.02	0	L138	NaN	NaN	KEYRESP_LOGO
247.038	0	L39	2	2	STIM_LOGO
248.038	5	L39	2	2	RETENTION_LOGO
253.038	0	L39	NaN	NaN	VERBALRESP_LOGO
257.372	0	L39	NaN	NaN	KEYRESP_LOGO
261.038	0	L433	1	2	STIM_LOGO
262.038	5	L433	1	2	RETENTION_LOGO
267.038	0	L433	NaN	NaN	VERBALRESP_LOGO
271.313	0	L433	NaN	NaN	KEYRESP_LOGO
277.038	0	L379	0	1	STIM_LOGO
278.038	5	L379	0	1	RETENTION_LOGO
283.038	0	L379	NaN	NaN	VERBALRESP_LOGO
287.499	0	L379	NaN	NaN	KEYRESP_LOGO
289.038	0	L21	1	2	STIM_LOGO
290.038	5	L21	1	2	RETENTION_LOGO
295.038	0	L21	NaN	NaN	VERBALRESP_LOGO
299.642	0	L21	NaN	NaN	KEYRESP_LOGO
302.038	0	L153	1	2	STIM_LOGO
303.038	5	L153	1	2	RETENTION_LOGO
308.038	0	L153	NaN	NaN	VERBALRESP_LOGO
312.25	0	L153	NaN	NaN	KEYRESP_LOGO
316.038	0	L25	0	2	STIM_LOGO
317.038	5	L25	0	2	RETENTION_LOGO
322.038	0	L25	NaN	NaN	VERBALRESP_LOGO
326.435	0	L25	NaN	NaN	KEYRESP_LOGO
334.038	0	L420	1	2	STIM_LOGO
335.038	5	L420	1	2	RETENTION_LOGO
340.038	0	L420	NaN	NaN	VERBALRESP_LOGO
344.05	0	L420	NaN	NaN	KEYRESP_LOGO
347.038	0	L233	1	2	STIM_LOGO
348.038	5	L233	1	2	RETENTION_LOGO
353.038	0	L233	NaN	NaN	VERBALRESP_LOGO
357.355	0	L233	NaN	NaN	KEYRESP_LOGO
364.038	0	L87	1	2	STIM_LOGO
365.038	5	L87	1	2	RETENTION_LOGO
370.038	0	L87	NaN	NaN	VERBALRESP_LOGO
373.999	0	L87	NaN	NaN	KEYRESP_LOGO
376.038	0	L289	1	1	STIM_LOGO
377.038	5	L289	1	1	RETENTION_LOGO
382.038	0	L289	NaN	NaN	VERBALRESP_LOGO
386.449	0	L289	NaN	NaN	KEYRESP_LOGO
391.038	0	L103	1	2	STIM_LOGO
392.038	5	L103	1	2	RETENTION_LOGO
397.038	0	L103	NaN	NaN	VERBALRESP_LOGO
401.145	0	L103	NaN	NaN	KEYRESP_LOGO
407.038	0	L105	0	1	STIM_LOGO
408.038	5	L105	0	1	RETENTION_LOGO
413.038	0	L105	NaN	NaN	VERBALRESP_LOGO
417.445	0	L105	NaN	NaN	KEYRESP_LOGO
420.038	0	L407	1	2	STIM_LOGO
421.038	5	L407	1	2	RETENTION_LOGO
426.038	0	L407	NaN	NaN	VERBALRESP_LOGO
429.925	0	L407	NaN	NaN	KEYRESP_LOGO
433.038	0	L431	1	2	STIM_LOGO
434.039	5	L431	1	2	RETENTION_LOGO
439.038	0	L431	NaN	NaN	VERBALRESP_LOGO
443.418	0	L431	NaN	NaN	KEYRESP_LOGO
446.038	0	L421	1	2	STIM_LOGO
447.039	5	L421	1	2	RETENTION_LOGO
452.039	0	L421	NaN	NaN	VERBALRESP_LOGO
456.314	0	L421	NaN	NaN	KEYRESP_LOGO
463.039	0	L353	1	2	STIM_LOGO
464.039	5	L353	1	2	RETENTION_LOGO
469.039	0	L353	NaN	NaN	VERBALRESP_LOGO
473.639	0	L353	NaN	NaN	KEYRESP_LOGO
478.055	0	L315	1	2	STIM_LOGO
479.055	5	L315	1	2	RETENTION_LOGO
484.055	0	L315	NaN	NaN	VERBALRESP_LOGO
488.283	0	L315	NaN	NaN	KEYRESP_LOGO
490.072	0	L191	1	2	STIM_LOGO
491.072	5	L191	1	2	RETENTION_LOGO
496.072	0	L191	NaN	NaN	VERBALRESP_LOGO
500.235	0	L191	NaN	NaN	KEYRESP_LOGO
506.072	0	L414	1	2	STIM_LOGO
507.072	5	L414	1	2	RETENTION_LOGO
512.072	0	L414	NaN	NaN	VERBALRESP_LOGO
516.455	0	L414	NaN	NaN	KEYRESP_LOGO
525.072	0	L399	1	2	STIM_LOGO
526.072	5	L399	1	2	RETENTION_LOGO
531.072	0	L399	NaN	NaN	VERBALRESP_LOGO
535.342	0	L399	NaN	NaN	KEYRESP_LOGO
537.072	0	L86	1	2	STIM_LOGO
538.072	5	L86	1	2	RETENTION_LOGO
543.072	0	L86	NaN	NaN	VERBALRESP_LOGO
547.323	0	L86	NaN	NaN	KEYRESP_LOGO
556.072	0	L226	1	1	STIM_LOGO
557.072	5	L226	1	1	RETENTION_LOGO
562.072	0	L226	NaN	NaN	VERBALRESP_LOGO
566.395	0	L226	NaN	NaN	KEYRESP_LOGO
569.073	0	L267	1	2	STIM_LOGO
570.072	5	L267	1	2	RETENTION_LOGO
575.073	0	L267	NaN	NaN	VERBALRESP_LOGO
579.484	0	L267	NaN	NaN	KEYRESP_LOGO
586.073	0	L16	1	2	STIM_LOGO
587.073	5	L16	1	2	RETENTION_LOGO
592.073	0	L16	NaN	NaN	VERBALRESP_LOGO
596.268	0	L16	NaN	NaN	KEYRESP_LOGO
601.073	0	L401	1	2	STIM_LOGO
602.073	5	L401	1	2	RETENTION_LOGO
607.073	0	L401	NaN	NaN	VERBALRESP_LOGO
611.517	0	L401	NaN	NaN	KEYRESP_LOGO
620.073	0	L195	0	2	STIM_LOGO
621.073	5	L195	0	2	RETENTION_LOGO
